"open","volume","high_close_ratio","volume_ma5_ratio","volume_ma30_ratio","volume_ma60_ratio","trsrange_ratio","ad_ratio","obv_ratio","adosc5_ratio","b_upper5_ratio","aroondown5_ratio","macd5_ratio","dx5_ratio","ultosc5_ratio"
0.456,0.1231686105,0.0350313769,-0.3967530525,-0.1696321028,-0.1105330102,-0.1467181467,-5.20591194441275E-05,0.0009802698,0.0113312098,0.0600311258,1,-0.0009740059,0.0013008072,-0.0152013624
0.4610909091,0.3326916757,0.154454049,-0.0291904378,0.0663396478,0.1173239445,0.3123123123,-5.19455415503999E-05,-0.002493555,0.0048786312,-0.122536662,-0.04,-0.0002035509,0.0016131668,-0.0165174893
0.4792727273,0.5992296902,0.1149467054,0.4437207584,0.3465867827,0.392516801,0.1375921376,-0.0002178103,-0.0053300391,0.0081931212,-0.177446472,-0.05,-0.0044215294,0.0016148626,0.0589798722
0.4923636364,0.3732992666,0.1473500794,0.0413616044,0.0899561177,0.1443368545,-0.1081081081,0,-0.0050034336,0.0015431577,0.2453893861,-0.0666666667,0.0004393041,8.67256448465889E-05,0.1029538598
0.4923636364,0.3094360947,0.0977980832,-0.0625540464,0.0173421291,0.0727130497,-0.048048048,-4.12613637938393E-05,-0.0060613935,0.0007299008,0.1995684968,-0.1,0.0001507411,-1.9526911118733E-19,0.1083244414
0.496,0.5861604745,0.1426924619,0.1891326418,0.2861579207,0.3396813905,0.2162162162,-0.0001384973,-0.0185950902,0.0012564139,0.1994990044,-0.2,0.0002679273,0.0004284849,0.0092125413
0.5069090909,0.274993387,0.063418872,-0.2043794881,-0.0327803927,0.0259966247,-0.0849420849,-0.0001435646,0,0.0012466229,-0.0419013825,0,0.000063846,0,0.0291840856
0.5054545455,0.2171989099,0.047427867,-0.2185844748,-0.0928775828,-0.0329622197,-0.0381558029,-0.0001279051,0.0397124648,0.0009371098,0.1000560114,0,7.92038237698117E-06,0.000015039,-0.0338915989
0.5069090909,0.2734379384,0.2423473731,-0.1009275294,-0.040505293,0.0194690261,0.2007722008,3.2560597077338E-05,-0.0142591231,-8.71378390753595E-05,-0.0484731145,0,-0.0001586409,-0.0011974774,-0.0071828017
0.496,0.1703915675,0.3119982004,-0.2510672249,-0.1424257973,-0.0814052139,0.008008008,6.45863587865465E-05,-0.0887392999,-0.0007420187,0.048693464,1,-0.0002718723,-0.0011341227,-0.0600991123
0.4887272727,0.1806901527,0.0162039409,-0.1088947869,-0.133978657,-0.0719287843,-0.1081081081,-0.0001612489,-0.0204562793,0.000096934,-0.0777637932,-0.04,-0.0001279096,-1.00984485027955E-18,0.0273373646
0.4967272727,0.1539641698,0.1142665474,-0.1293476079,-0.1580937781,-0.0974638929,-0.0154440154,0.000012958,-0.0599067669,-0.0003905133,-0.1239385446,-0.05,-0.0002387635,-0.0012667682,-0.0533097859
0.4930909091,0.1992124564,0.115118012,0.0107114182,-0.1128410712,-0.0540626888,0.0498960499,-2.71395424710828E-05,0.0278760746,-0.0004428661,-0.2979506633,0.1333333333,-0.0004179116,0.0532938212,-0.0594428778
0.4836363636,0.1449408841,0.131956756,-0.0835945717,-0.1643059191,-0.1058353349,-0.027027027,2.27521503956658E-05,0.0073505672,-0.0007737084,-0.0845244923,-0.04,-0.0008389119,6.5621530226935E-19,0.0125210815
0.4843636364,0.1845328845,0.1156350091,0.0391817468,-0.1239730903,-0.0672076078,0.0463320463,-3.55401156363831E-05,0.0063928957,-0.0006019887,0.0088067781,0.05,0.0020895238,0.0008879893,0.1038001901
0.4894545455,0.1037048615,0.1988267337,-0.1942130409,-0.2048340139,-0.1451262862,-0.0254372019,6.86408302842737E-05,0.0025599269,-0.0012732438,-0.1322131046,-0.04,0.0004101891,-0.0006824924,-0.1635048054
0.488,0.1854154142,0.1327504809,0.0761884388,-0.1195417904,-0.0642553044,0,1.33606254424698E-05,0.003940355,-0.0013829486,-0.1070896931,0.05,0.0001522597,0.0011432455,-0.0169200341
0.4814545455,0.1859508637,0.0501585624,0.0887407517,-0.116048843,-0.0642014078,0,-0.0001077919,0.0031647565,0.000059487,-0.0044830369,0,0.0002476273,0.0007324669,0.0096327028
0.48,0.1704444712,0.0671834625,0.0152326082,-0.1290576445,-0.0790148689,-0.0864864865,-2.10699109427117E-05,0.0024179327,-7.71689142191441E-05,-0.0121726564,-0.04,0.0001545085,0,0.0298937388
0.4763636364,0.330941846,0.2562279502,0.3960719027,0.0362133415,0.0753119377,0.2162162162,0.0002470239,0.0040732164,-0.003521152,0.0421311611,0.05,0.0003150285,0.0004057832,-0.128059118
0.4690909091,0.1745713599,0,-0.0949880706,-0.1239372815,-0.076886523,-0.1201201201,-0.0001819607,-0.0017092472,0.0008843157,-0.0817557311,0,4.08557864486899E-05,7.72036627079907E-05,0.1427225045
0.4669090909,0.1945228648,0.1210723919,-0.0452405269,-0.1004447727,-0.056885599,0.0810810811,0.0001608561,0.0021348792,-0.0041538357,-0.0906410484,0,0.0001475389,6.9647229634591E-05,-0.1002268698
0.4625454545,0.2144166566,0.1396820724,-0.0067348772,-0.0776447079,-0.0369666481,0,0.0001025077,0.0020738108,-0.016017429,-0.0974367861,0,0.0001075032,0.0001327494,-0.1412770116
0.4632727273,0.2665953268,0.1546946316,0.0733513875,-0.0234416751,0.0133909289,0.1572481572,0.000034003,-0.0022800724,0.0069127942,-0.2009794991,-0.04,-0.0001075867,-0.001156456,0.0452000529
0.48,0.203348964,0.2741586018,-0.0198705055,-0.0897364959,-0.0485016058,-0.0113798009,0.0002053928,-0.0020314648,0.006698165,-0.0227585708,-0.05,-0.0001384406,-0.0007218367,-0.0670974832
0.4712727273,0.1278918681,0.137292488,-0.2080386156,-0.1639980687,-0.1217785806,-0.0720720721,4.05578144506732E-05,0.0014655296,0.0019071981,-0.0729683343,-0.0666666667,-0.0001179882,-0.0006688605,-0.1173163308
0.4661818182,0.1446511162,0.119758428,-0.1392293526,-0.1352851147,-0.1046322986,0,2.2660344454696E-05,-0.0015172499,0.0006507237,0.0474925272,-0.1,-0.0001616435,-0.0009784799,0.0813163799
0.4669090909,0.2230058915,0.1554208975,0.0883148679,-0.0249667334,-0.0280207254,0,0.0001040968,0.002586805,0.0009075152,-0.0915625322,-0.2,1.37166706044326E-05,0.0105557589,-0.0508307416
0.4654545455,0.2598276622,0.1036139317,0.2024641044,0.0245611466,0.0055809383,-0.0720720721,0.0001176088,0,0.001032499,0.0080703267,0,-3.30593083818367E-05,-6.20934469634975E-19,-0.1376474775
0.4669090909,0.1735349285,0.0685396504,-0.0375902106,-0.0818009427,-0.0792420307,0.1081081081,-5.0579913412154E-05,-0.00173046,-0.0002615883,0,1,-0.0002058562,-0.0014689624,0.3133004855
0.4698181818,0.1543665585,0.0687531696,-0.1095518784,-0.1077593265,-0.0976076964,-0.0900900901,1.95800577097958E-05,0.0017280282,-0.0003737858,-0.0069882671,-0.04,-0.0001180743,-1.49767675207066E-17,0.0058536697
0.4669090909,0.2088377219,0.0516453216,0.0137667994,-0.0320025989,-0.0434565991,0.0308880309,-4.60852478559006E-05,0.0021079207,-0.0009622449,-0.0465460319,0.05,-6.714043262605E-05,0.0403174165,0.0830008017
0.4669090909,0.0839545509,0.0343765848,-0.2983737307,-0.1886631861,-0.1637566401,-0.1081081081,0,-0.0007479097,-0.0009948314,0.0013012551,-0.04,-0.0001384087,8.61425671155825E-19,0.0911310991
0.4676363636,0.0815963288,0.085941462,-0.238958568,-0.186528873,-0.1656092296,0.0540540541,7.30356996882087E-05,0,-0.0001962979,-0.0163590516,-0.05,-0.000135675,-0.0008159419,-0.0503410651
0.4669090909,0.1090220833,0.0343765848,-0.0828498443,-0.1399623442,-0.137631344,0,-0.000019098,0,-0.0007105365,-0.0370143482,-0.0666666667,-0.000133312,0.0011989689,-0.0150722023
0.4683636364,0.2050458899,0.0685396504,0.278931123,0.0303423579,-0.040674826,0.2162162162,-3.61261865393333E-05,-0.0019171405,-0.0012942922,0.0371041821,-0.1,-0.0003582889,0.000015106,0.0842701771
0.4661818182,0.2521333814,0.1917594327,0.4121525401,0.1099309186,0.0053425133,0.0432432432,0.0001871229,0.0026818729,0.0018711089,0.0996016821,0.8,0.0022370935,0.0007191012,-0.2313037517
0.4618181818,0.2375263516,0,0.1947078273,0.0842406022,-0.0110249882,-0.1261261261,-0.0002002853,-0.0021607912,-0.0023097146,-0.0169283772,-0.04,-0.000042021,-6.97184980063504E-19,0.1746757079
0.4618181818,0.3369532283,0.1762760978,0.2719813708,0.2425059478,0.08363217,0.4324324324,0.0001627787,0.0035492767,0.0009370107,0.0462697371,0.05,0.0006567425,0.0023497571,-0.0605879224
0.4567272727,0.2763460382,0.0703979823,0.0321398328,0.1350398023,0.0214517277,-0.0720720721,-4.72750773575931E-05,-0.0023781869,-0.0008086732,-0.0578343369,0,0.0001097471,0.0001101145,0.037754307
