"low_close_ratio","close_lastclose_ratio","close_ma5_ratio","volume_ma10_ratio","volume_ma15_ratio","volume_ma60_ratio","atr5_ratio","kama5_ratio","wma5_ratio","rsi5_ratio","slowk5_ratio","macdsignal5_ratio","macdhist5_ratio","cci5_ratio","cmo5_ratio"
-0.1690674191,-0.0521072797,0.1989702646,-0.0519734312,-0.0200049628,-0.0219515703,-0.1588497093,0.294828975,0.2135241322,-0.0227092252,-0.050010664,0.0011753318,-0.0002225195,-6.79141480585079E-15,-0.0006407403
-0.0950270433,-0.0787644788,0.0447821312,-0.0636684469,-0.0449488369,-0.0431167295,-0.064656085,0.0857342415,0.088056608,-0.0370096214,0.0377042454,-0.0001023483,-0.0007323809,-6.17588499419865E-15,-0.00119596
-0.0574651726,-0.053125,-0.0713907086,-0.0626391754,-0.0494297132,-0.0438058875,-0.0535504001,0.0345926454,-0.0035712665,-0.0278096927,-0.0867385744,-0.001102812,0.006489009,-2.16887367911967E-14,-0.0012351986
-0.4499777679,0.1472440945,0.0392352514,0.0215129541,0.003389924,0.015300387,0.1925556561,0.026195546,0.0464385312,0.0460008485,-0.0229744294,-0.0007615859,-0.0002434298,2.31838162799587E-14,0.0029700267
-0.3169024462,0.0393063584,0.0760182995,0.0920246304,0.0563950186,0.0714791056,-0.0212759523,0.0024145214,0.0551825662,0.009282838,0.0350371767,-0.0005680649,-0.0001971739,-3.61548395966166E-14,0.0003642493
-0.149416802,-0.0130268199,0.0563351425,-0.0227951961,-0.0324532493,-0.0155497032,-0.1258475112,0.0103035412,0.0460970714,-0.0090460492,0.0812641042,-0.0008088062,0.0002449907,2.32901011693191E-15,-0.0003296903
-0.0206160365,-0.6395393474,-0.4527971042,0.2675513306,0.2471827043,0.2801897407,0.59029163,-0.1352920926,-0.3922823668,-0.1872831333,-0.0672644203,-0.0056144863,0.0037082125,-3.24559239537362E-14,-0.0073525683
-0.376674938,-0.1008474576,-0.44034269,0.2313770043,0.2432148027,0.3064987213,0.1678823774,-0.1532902915,-0.394713096,-0.0299079411,-0.0256530991,-0.0113387803,0.0001409069,-3.68449674140024E-15,0.0003149554
-0.1443122555,0.1023655914,-0.2372876638,-0.0133271286,0.0108831526,0.0476065705,-0.0940038961,-0.1174115378,-0.2603104865,0.1214673576,-0.1470906501,-0.0444823173,-0.0001677837,-6.81833199827568E-15,-0.001042953
-0.235249366,-0.2449152542,-0.29168366,-0.0050944758,0.0143189799,0.0499252361,0.0209422324,-0.2691247493,-0.3378738038,-0.074017032,-0.1658817518,0.0197310019,-2.39544848870361E-05,6.82065756540385E-15,0.0013370461
-0.5686813187,0.1046153846,-0.0435028862,0.0823837633,0.1005767599,0.1554675958,0.0448491597,-0.088533988,-0.1467750869,0.1152618634,-0.116482888,0.0048878221,-0.0002700556,-1.29185879872617E-15,-0.0010895575
