"close","volume_ma15_ratio","volume_ma30_ratio","volume_ma60_ratio","trsrange_ratio","adosc5_ratio","dmi5_ratio","mom5_ratio","macd5_ratio","macdsignal5_ratio","cci5_ratio","dx5_ratio","cmo5_ratio","ppo5_ratio","ultosc5_ratio"
0.7696793003,-0.036297714,-0.0389608994,-0.0317874086,-0.0600600601,-0.0039618602,0.0001427386,-0.0003174603,0.0042632822,0.02867407,-8.05944999272389E-15,0.0001427386,7.82068414159834E-06,0.1068657554,0.0933311809
0.7594752187,-0.0204038197,-0.0302213325,-0.0245550316,0,0.0047462046,-9.46273234794371E-05,-0.0096525097,-0.0002605535,0.002818994,-1.49104177024574E-14,-9.46273234794371E-05,-5.30221359018454E-05,0.006997901,-0.1070142465
0.7565597668,0.0209765516,-0.009303846,-0.0052875846,-0.0135135135,-0.0023373155,9.28187801354207E-05,-0.0086580087,-0.0009250801,0.0006504573,-7.87503236042694E-15,9.28187801354207E-05,-3.02207697567505E-05,0.0020835171,-0.0692579186
0.7580174927,0.0382788199,0.0057341866,0.005263826,0.0900900901,-0.016783375,0.0001606029,-0.0017006803,-0.0007653297,2.56424216657072E-05,-1.70602490482181E-14,0.0001606029,1.67824365969984E-05,-0.0004950697,-0.0532207897
0.7448979592,0.0182615919,-0.0017137749,-0.0041865039,0.018018018,0.0023616767,-0.0007751534,-0.0494505495,-0.0031151157,-0.0011568429,-4.08024289736554E-13,-0.0007751534,-0.0001704484,-0.0050770077,-0.1909865414
0.7478134111,-0.0286504129,-0.0278573777,-0.0256666486,-0.0715421304,0.0008399489,-1.1446564826654E-18,0.0017006803,-0.0026799193,-0.0015086585,-1.59675992890447E-14,-1.1446564826654E-18,-6.21326264219375E-05,-0.0087513888,-0.1296520116
0.77696793,0.0767213808,0.0374021334,0.029332858,0.2871621622,-0.0014751081,0.0046711281,-0.0428571429,0.0131346493,0.0013152651,-6.32586767150944E-14,0.0046711281,-0.0009439592,-0.0060883984,0.3656009325
0.7667638484,0.0146768243,0.0041707067,0.0017124185,-0.0486486486,0.0001711103,0.0001033064,-0.0099206349,0.0001232861,0.0007083434,-1.24025340595172E-15,0.0001033064,-5.72081038995729E-05,-0.0084828445,-0.0244183107
0.7711370262,-0.032848826,-0.0277179951,-0.0247565027,-0.0422297297,0.00040304,-2.60253000004199E-19,0.0068027211,0.000453435,0.000576933,-6.17056555736243E-15,-2.60253000004199E-19,3.48786228777988E-05,-0.0161129192,0.0532300723
0.7580174927,-0.0475763337,-0.0361138456,-0.0327177624,-0.0245700246,0.001317033,-0.0005091281,0,-0.0023725597,-0.0006849731,-3.766909733028E-14,-0.0005091281,-0.0001173138,-0.2784956673,-0.1135576965
