"open","high_close_ratio","close_lastclose_ratio","trsrange_ratio","obv_ratio","sar_ratio","atr5_ratio","natr5_ratio","b_middle5_ratio","dmi5_ratio","apo5_ratio","macdhist5_ratio","cci5_ratio","dx5_ratio","cmo5_ratio"
0.5863708399,0.2228340081,0.5021739852,0.4482758621,0.0376305363,-0.7061196672,0.252404323,0.2299306689,0.4665551839,9.5516570835327E-05,0.0037925697,0.0035894879,1.53466484831493E-14,9.5516570835327E-05,0.0003323185
0.6077654517,0.2510707769,0.5784717819,0.0252873563,0.0320495052,0.0247832693,0.2015526596,0.1711256016,0.6509589041,2.39017457087019E-05,0.0034457298,0.0025413494,-1.98241732817521E-15,2.39017457087019E-05,0.000104851
0.6418383518,0.1653846154,0.4149933066,-0.0337164751,0.0266666621,0.0689318846,0.0554052052,0.031279107,0.7945425361,7.29877310592187E-06,0.0033898305,0.0007469831,-1.12552910436223E-15,7.29877310592187E-06,3.59813434179178E-05
0.6513470681,0.1804928324,-0.1417689991,-0.0603448276,-0.0145775702,0.1157234758,-0.041523261,-0.0361259086,0.6455301455,0,0.0015799708,-0.0010401098,-3.65346180785903E-15,0,-0.0003244157
0.6402535658,0.0640715217,0.0653038463,0.0549725137,0.0179363722,0.1071962555,0.0064291377,0.0026093061,0.6852791878,-0.0002532851,0.0018290898,-0.0014405429,-3.80361710846256E-15,-0.0002532851,3.31434325607154E-05
0.6497622821,0.7511662531,-0.6620671548,0.1302681992,-0.0184658765,0.0994040194,0.1461161655,0.2163029714,0.1002475248,-0.00065572,-0.0015291515,-0.0079926488,-3.0536897217872E-14,-0.00065572,-0.0014125141
0.618066561,0.3028108433,-0.0830159347,-0.0603877166,-0.0155953607,0.0922687668,-0.0129601841,-0.0086049897,-0.2130702836,-0.0006248707,-0.0043572985,0.0016660189,1.69859493050545E-15,-0.0006248707,0.0026501922
0.6085578447,0.1195251424,0.3904303821,0.0469622332,0.0145192505,0.0857227986,0.034442846,0.0109560572,-0.2348993289,0.0098895542,-0.0074819401,-0.000925579,-5.96505747547276E-15,0.0098895542,-0.0043385358
0.6339144216,0.2017398104,-0.1345406721,-0.0737547893,-0.0073343136,0.0797070709,-0.0659617595,-0.0634784828,-0.2301905717,-3.17978655848658E-19,-0.0132352941,-0.0001925851,-7.76108798646889E-15,-3.17978655848658E-19,-0.0008663654
0.616481775,0.2622003811,-0.272500421,0.0189655172,-0.0078071074,0.0741698556,-0.0476684837,-0.0344730953,-0.4028831563,-0.0001928343,-0.1670168067,0.0007384249,1.06098760941862E-13,-0.0001928343,-0.0042519508
0.6038034865,0.1924475524,0.0419409057,0.0329835082,0.0073713537,0.0690656429,-0.0174551221,-0.0216792952,-0.0346598203,0.0007103451,0.0020283976,-0.0003576325,-1.47882704003453E-15,0.0007103451,-0.0003865826
0.6148969889,0.2355215465,-0.0835549992,-0.0435988902,-0.005707746,0.0643542359,-0.0548396515,-0.054426359,-0.0347043702,-2.19468060718722E-19,-0.0024064171,-0.0002965328,-4.38849956624365E-16,-2.19468060718722E-19,0.0009572935
0.6117274168,0.2513497057,-0.0842111903,0.0332728373,-0.0064554015,1,-0.0257686182,-0.0225513807,-0.271042471,0.0004426147,0.0004262575,-0.0002848425,4.95074428570873E-15,0.0004426147,0.0005794945
0.6117274168,0.0267964946,0.4526814382,0.0526819923,0.0133937751,-0.0172406555,0.0245157919,-0.0034409129,0.0210608424,-0.0007325535,-0.0038318144,-0.002645033,-2.34381118410733E-14,-0.0007325535,-0.0025503628
0.6109350238,0.0814201183,-0.1357328046,-0.0371872887,-0.0108429425,-0.0169331153,-0.0254115925,-0.0187845472,0.0911925175,0.006739638,-0.0100840336,-0.0054928436,-6.11750529690758E-15,0.006739638,-0.0009573454
0.618858954,0.2778114274,-0.2474513438,-0.0158045977,-0.0063496395,-0.0166304065,-0.0349743086,-0.0219851089,-0.0559295702,0.0017737966,0.0013368984,-0.025633659,-1.58054552535905E-14,0.0017737966,-0.0048867514
0.6014263074,0.1403795144,-0.1125762894,-0.0120415982,-0.0083110163,-0.0163324767,-0.0392843402,-0.0355378362,-0.0700570835,0.001274212,0.0020424837,0.0018475455,1.83289135730005E-14,0.001274212,0.0007123596
0.5998415214,0.2264088852,-0.0853280496,-0.0133091349,-0.0069141035,-0.0346962792,-0.0437738041,-0.0421972033,-0.070239334,3.77747121842544E-19,-0.0104017217,0.0003442384,-1.83852135807443E-15,3.77747121842544E-19,0.0003510027
0.6101426307,0.0270015699,0.5160749952,0.1561866126,0.0163945273,-0.0334566346,0.0789403293,0.0489549525,-0.0422535211,-0.0004728378,0.0110294118,-0.0039531404,-1.70470619833061E-14,-0.0004728378,-0.002235052
