"high_close_ratio","close_ma5_ratio","close_ma15_ratio","volume_ma60_ratio","sar_ratio","adosc5_ratio","b_upper5_ratio","kama5_ratio","willi5_ratio","mom5_ratio","macd5_ratio","macdhist5_ratio","cmo5_ratio","rocr5_ratio","ultosc5_ratio"
0.0325925926,0.1106177943,-0.1625920727,-0.0203273101,-0.0508691539,-0.0004796412,0.0722824046,0.001846604,-0.0190451324,-0.0666666667,-0.001126762,-0.008823473,-0.0022033523,0.1577376023,0.197291021
0.1292217327,0.1557446067,-0.1027454865,-0.0379123441,-0.04725208,-0.000358111,0.0699318345,0.0061654966,0.0110299995,-0.0055555556,-0.0014670973,0.0015649812,-0.0049422282,-0.0266577772,-0.0282958654
0.1297935103,0.0773847308,-0.1031898874,-0.0345713893,-0.0438620469,-0.0001264108,0.0335870837,0.0238019053,0.0064341664,0.0296296296,-0.0011993322,-0.0001131404,-0.0031049428,0.1056688433,0.0119310007
0,0.0384858225,-0.0863151301,-0.0174213277,-0.0406890291,-0.000740773,0.0048477042,0.015961756,0,-0.0031746032,-0.0011706876,-0.0003092735,3.17326498513902E-18,-0.0262105339,0.1653768306
0.1339421613,-0.1797604343,-0.1952332403,0.0411382317,-0.0377228315,-0.0003832488,0.0185738683,-0.004018524,0.0360313316,-0.0259259259,0.0027692207,-0.0019380359,0.086847117,-0.1786027532,-0.0887605562
0.0336391437,-0.1679673951,-0.1715259363,-0.0302310516,-0.0349532008,-0.0008610216,0.0190839433,-0.0845163872,-0.0027755227,0.1333333333,0.000991277,-0.0078749371,0.0002357684,-0.1538854888,-0.0110888333
0.2037037037,-0.1631148737,-0.1664883105,0.0132694849,-0.0472474476,-0.0007216878,-0.049468942,-0.2033184594,-0.0009377732,0.0126984127,0.0007268706,0.0015139896,0.0004253884,-0.1032404573,0.0266013393
0.1383647799,-0.2048579285,-0.2000773733,0.0502572455,-0.0597002537,-0.0003285884,-0.0655596387,-0.221386238,0.003027843,0.0060606061,0.0010098947,0.0014052062,0.0005615454,-0.0817414717,0.0419848006
0.0666666667,0.0996729597,-0.0207600957,0.0308650945,-0.0684510321,-0.0022586847,-0.1528270354,0.0108164804,-0.01903988,-0.0126984127,-0.0013008014,-0.0030317311,-0.0025900373,0.2175968853,0.1120634044
0.0672782875,0.0399059636,-0.056812814,0.0284882884,-0.0596362991,-0.0222034151,-0.0143113698,0.0007371634,0.0112185465,-0.0185185185,-0.0007422583,0.0011822006,-0.0615773611,0.13021489,0.1150761858
0.0660660661,0.1457839184,0.0249346801,-0.0234648622,-0.3704963512,0.0027536592,0.0750574111,0.0108411068,-0.0145841104,-0.1111111111,-0.0020613519,0.0021389298,-0.0057750085,0.132740327,0.0280192544
0.1321321321,0.1054431798,0.0277219405,-0.0358910088,0.0076255607,0.0004399295,0.0572106691,0.0215162467,0.0196809794,0.0111111111,-0.0024708507,5.47681612505722E-05,3.37608512752424E-19,0.0533918283,0.0120814454
0.0324483776,0.1431524397,0.1009715477,-0.0502983544,0.0169552442,0.0003919959,0.0224762077,0.149677298,-0.0196599528,0.0296296296,-0.0098892086,0.000596701,0.0042052436,0.2146563869,0.0567473556
0.0982142857,0.0518681829,0.0538787307,-0.0917929544,0.0258559561,-4.32334875570216E-05,0.0260670974,0.0177961952,0.0611245804,-0.0158730159,0.0013755342,-0.0006384876,-0.0013491696,-0.2588580164,-0.0625419071
0.0339506173,-0.1948561465,-0.1065042352,-0.0572088261,0.0241868806,0.0001020039,0.0320369205,-0.0042420153,0.0821122183,-0.0333333333,-0.0066817937,-0.0028356596,-0.0072403138,-0.1549272712,-0.1025260842
0.0672782875,-0.1042991308,-0.0554438809,-0.0772972033,0.0226326249,-1.61912071411639E-05,-0.002404829,-0.0056092519,-0.0046793937,0.0222222222,0.0029186953,0.0007209205,-0.001236268,-0.0514677985,-0.0761974386
0.0669710807,-0.0522914047,-0.0236207388,-0.0974556359,0.0036565666,-0.0001007881,-0.0152550163,-0.0016222524,-0.0028596295,-0.0055555556,-0.0001769667,-0.000974832,-0.0012323719,0.0264509975,0.0384321834
0.0321637427,0.2283608232,0.1610792412,0.0340406303,0.0209506016,0.0006197843,0.0523813995,0.0069260222,-0.0229217176,-0.037037037,-0.0084469074,-0.0110501484,-0.0142650183,0.1307190405,0.0926349961
0.0964912281,0.2015329125,0.1582062464,-0.0536419539,0.0301298561,0.0001162131,0.0754178293,0.0164118672,0.0428944424,0.0222222222,0.0042639835,0.0004029158,0,0.0514849773,-0.0116470038
0,0.1733404188,0.1839618609,-0.0763198959,0.039394551,0.0002445307,0.082193508,0.2590353304,-0.0160854159,0.0555555556,0.0017711944,3.31057116652592E-05,0.0005445967,0.266022443,0.1563260159
0.096069869,0.0699351425,0.1475102112,-0.0920770979,0.0351941146,-8.36582851305349E-05,0.0016431352,0.0852503093,0.0514733308,-0.0047619048,0.000118573,-0.0007704428,-0.0006099923,-0.0777429319,-0.0391296707
0.0634920635,0.0566205033,0.1674345498,-0.0711262867,0.0406826821,-0.0002035334,-0.101021834,0.097539017,-0.0046194015,0.002020202,0.00040583,-0.0003952861,0.0007511452,0.0238006762,0.000157108
0.0629470672,0.0876937306,0.1786639507,-0.0068473986,0.0448345981,-0.0002768983,0.0673320516,0.0749744749,0.0046793937,-0.012962963,0.0004919601,-0.0001055074,0.000511982,-0.1796636849,-0.081373592
0.0637681159,-0.0187589178,0.1033451592,-0.0490862086,0.0513684075,-0.0001561853,-0.0103793997,0.0019503208,0.0386049981,-0.0133333333,-0.0007429489,-0.0021821003,-0.0017223711,-0.0742444308,0.0109746768
0,0.0810076115,0.1624064123,-0.0629629736,0.0427362288,0.0002223219,0.0569301003,0.020112536,-0.0194454805,0.0222222222,0.0004367336,-0.0294356673,0.0033230428,0.0492698581,0.0103997653
0.1929824561,-0.0997879228,0.032423895,-0.0038188126,0.2225746979,-0.0003989633,0.011364453,-0.0008024795,0.1544199925,-0.0277777778,-0.0016444149,-0.0101447518,-0.0030557999,-0.1233195202,-0.0774774589
0.1333333333,-0.2833497676,-0.127068423,0.0161718412,-0.004069129,-0.0009843862,0.1095530992,-0.0671678412,0.0052852081,0.2222222222,-0.0052622204,0.0039526082,0.0112432577,-0.2505000067,-0.1283855498
0.3459119497,-0.4105154402,-0.2714781744,0.1356727908,-0.0143162147,-0.0031908988,0.0481922188,-0.2353135113,0.0005221932,0.0202020202,0.0245213917,0.0011751852,0.0011394924,-0.2573806936,-0.1769242678
0.0685358255,-0.247263305,-0.2178269981,-0.0476063602,-0.0315597257,0.0063641981,-0.0692070831,-0.0999510728,-0.0023396969,-0.0052910053,0.0011974996,-0.0004150996,-0.0006134114,0.1303216128,-0.0057120242
0.1018518519,-0.0661438295,-0.1769844359,-0.0713915336,-0.0298434325,0.0013065425,-0.2777974027,-0.0889122608,-0.0025736665,0.0027777778,-0.0001325916,-0.0009312081,-0.0008249809,-0.0455999224,-0.1066119884
0.0337941628,0.0400908846,-0.1552478037,-0.0765807901,-0.0282113068,-2.50114967531062E-05,-0.2607669759,-0.034201503,-0.0080289597,-0.0086419753,-0.0005279307,-0.0013840769,-0.0006425829,0.1791436346,0.1405091913
0.2421383648,-0.0740489744,-0.2483678075,0.0970675865,-0.0266602045,0.0005507995,-0.0984786825,-0.0555053549,0.0110299995,-0.0060606061,0.000560312,0.000545865,0.0022935751,0.0719883789,0.0371805833
0.1754385965,-0.1552645886,-0.2854621832,0.2162610507,-0.037292752,0.0010355928,0.0359671894,-0.0260920996,0.0021447221,-0.0138888889,0.0006210097,0.0005470407,0.0005525666,0.1329188521,0.0639201278
0.0695102686,-0.0676965016,-0.2220880832,0.0305845119,-0.047860258,0.0002467108,-0.0092622064,-0.0200642611,-0.0051473331,0,-0.0003096555,-0.001492152,-0.000908768,0.0007735524,-0.0276441663
0.0705128205,-0.1159550768,-0.2555050033,0.0427241541,-0.0434658172,-3.35473457480855E-05,-0.0469984608,-0.1079514565,0.0069291022,0.037037037,0.0001329887,-0.000009606,0.0009148663,-0.1346182591,-0.0303395756
0,0.082161566,-0.1297695397,0.0106993993,-0.050181378,-0.000833023,-0.1142718937,-0.0093764418,-0.0116984843,-0.0111111111,-0.0011019879,-0.0081028231,-0.0022656905,0.1114017376,0.1368970529
