"close","high_close_ratio","close_lastclose_ratio","volume_ma5_ratio","volume_ma60_ratio","b_lower5_ratio","dmi5_ratio","rsi5_ratio","slowk5_ratio","willi5_ratio","macd5_ratio","macdsignal5_ratio","macdhist5_ratio","cci5_ratio","rocp5_ratio"
0.426443203,0.0465233456,0.0399958229,-0.0532597488,-0.0549966346,0,-7.71575918290009E-20,0.033209291,-0.0708354404,-0.008,-0.0006446768,-0.0003014856,-0.0052441018,0,-0.0185855263
0.417132216,0.2853708791,-0.1991058432,0.2007930641,0.0227288146,-0.175589756,0.005459931,-0.0749273,-0.0575167254,0.0172727273,0.0070931523,0.0031089006,-0.0129683764,4.31421486770383E-14,-0.0921160365
0.4022346369,0.4439102564,-0.3256802721,0.3068981953,0.1084792825,-0.3932200339,4.0996929345549E-05,-0.0776802815,-0.1318952809,0.0088888889,0.0044887103,0.005042901,0.0023975542,-2.84269971902976E-15,0.0297368421
0.4003724395,0.1982110912,-0.0422178131,-0.0963105315,-0.0236419809,-0.2140318788,5.85331270912248E-06,-0.0112880659,-0.1925014808,-0.0023529412,0.0009523761,0.0022483698,4.18518427694589E-05,-6.05994812341498E-15,0.0027660733
0.4078212291,0.0486476993,0.1696566999,-0.0447145294,-0.0064902814,-0.0244171532,-1.80097882719863E-05,0.2917253692,0.031562721,-0.01078125,-0.0003020108,0.0005983466,-0.0007131975,-1.03925191568452E-14,-0.007336392
0.417132216,0,0.2081974342,-0.133177625,-0.0338869544,0.0883276131,-7.23073170771664E-05,0.0855618774,0.1029146639,-0.0181818182,-0.0010819895,-0.0003854432,-0.002155444,-4.34126323678039E-14,-0.0083053225
0.4152700186,0.0955501897,-0.040710034,-0.2143454474,-0.0703720046,0.0110533941,-0.000071801,-0.0108423731,0.2093245412,-0.0206060606,-0.0008895324,-0.0006527874,0.0006458639,1.47128165466809E-14,-0.01478545
0.4283054004,0,0.2862481315,0.1252588976,0.0055015327,-0.0023762103,0.0011082121,0.0591073221,0.2553058699,-0.04,-0.0032447644,-0.0016713313,0.0013873781,5.36018815976845E-15,-0.2884198343
0.4301675978,0.0461205461,0.0396480331,-0.0603598905,-0.0447612505,0.2049902423,2.7139399598987E-05,0.0045617419,0.1665163174,0.0122222222,0.0155291564,-0.0031501611,7.52686206915021E-05,-2.53356874594533E-15,0.0027538687
0.4376163873,0,0.1579055865,0.0292611964,-0.0276820857,0.1504488936,2.61331988800035E-05,0.0158799364,0.2172344307,-0.04,0.0027117114,-0.019455718,0.0001083258,2.46313305595542E-15,-0.0003394617
0.4338919926,0.1828986464,-0.0776089159,-0.1088292165,-0.063607927,0.1222813934,1.12098205863506E-05,-0.02078832,0.0803565369,0.192,0.0001836206,0.0031366915,-0.0004210355,-5.37007811372675E-15,-0.008364524
0.4357541899,0,0.0391375434,-0.053561117,-0.0467207628,0.3043902372,-5.27526899196962E-05,0.0057679834,0.1465640823,-0.0053846154,0.0001097733,0.0011322278,-0.0004235781,-1.55834989625037E-14,0.0042319808
0.4320297952,0.0459217507,-0.0779405779,-0.0757942869,-0.0630357099,0.0569414959,2.47829582701729E-20,-0.0253378028,0.113050385,0.0466666667,-0.0004798105,0.000179702,-0.0009811174,-6.61839780840934E-14,-0.0153091845
0.4357541899,0.0455292571,0.0786124795,-0.056017423,-0.062408858,0.0613895995,4.86708670274047E-05,0.0183957816,0.1185466435,-0.01,-5.03616030533852E-05,7.42436175834796E-05,-0.0007009057,-2.634255621985E-14,0.0091720779
0.4320297952,0.1836870027,-0.0779405779,-0.0159869213,-0.0617331819,-0.015345061,1.43678827152959E-05,-0.0274582236,0.012075199,0.0266666667,-0.0006466503,-0.0003118966,-0.0065251244,-2.15710743385251E-14,-0.0368547032
