"close","volume","open_lastclose_ratio","high_close_ratio","close_ma30_ratio","close_ma60_ratio","trsrange_ratio","ad_ratio","slowk5_ratio","willi5_ratio","mom5_ratio","macdhist5_ratio","cci5_ratio","cmo5_ratio","roc5_ratio"
0.3980801807,0.0361016053,0,0.0326241135,-0.0073762333,0.1771215694,0.0250696379,-6.72423533578179E-05,-0.0879881135,0.0046829638,-0.0007183908,7.14002856230565E-05,-5.09537508507431E-15,0.000179433,-0.0004593177
0.3935629588,0.0369054756,-0.0070921986,0.0086083214,-0.0452760314,0.1436325684,-0.0194986072,0.0001341398,-0.0421147173,-0.0021628063,0.0017879949,-6.11529345552582E-06,6.48769667244488E-15,4.55984398354295E-05,0.0018621431
0.4088085827,0.0325025494,0.0043041607,0.0013812155,0.0472564904,0.2180833848,0.0250696379,0.000204499,0.1838517632,-0.0268942342,-0.0079575597,-0.0002577353,-5.26699784182531E-14,-0.0003231457,-0.0081618138
0.3986448334,0.0295673391,-0.0248618785,0.0339943343,-0.0264798108,0.152065275,-0.0146239554,-0.0001158451,-0.0976093162,0.0495697927,0.0050287356,2.02931516807336E-06,1.13497951066872E-13,-0.0045738022,0.0054429518
0.4054206663,0.0165304393,0,0.0027855153,0.0114430214,0.1794233167,-0.0292479109,8.73545632978172E-05,-0.008440625,-0.0178610563,-0.0099950025,-0.0004272045,1.84433194670201E-14,-0.0002825175,-0.0102901136
0.4110671937,0.0257733988,0.0111420613,0.0027472527,0.0379458065,0.199903706,-0.0307103064,0.0001168562,0.1302777897,-0.0297684272,-0.0996168582,0.0017562918,6.11422991119921E-14,-0.0020997292,-0.104791538
0.4076792772,0.0358896879,0.010989011,0.0221606648,0.0057402268,0.1714881881,0.1552389115,2.58181562188335E-05,0.0397751999,0.2733835151,0.0009995002,-5.87313929544534E-05,-2.71900517364813E-14,-0.0002750585,0.0011786073
0.395256917,0.0239900191,-0.0041551247,0.0271428571,-0.082064132,0.0949112656,-0.0243732591,-0.0001010383,-0.0696544283,0.0632579078,-0.0225287356,-0.0005312798,-1.42804499233261E-13,-0.0063194329,-0.0228082199
0.3828345567,0.0268787757,-0.0414285714,0,-0.1670563584,0.0206598817,0.0404971073,0.0001753302,0.0049705922,-0.0045518481,0.0019157088,0.0010349737,2.15462451964254E-14,0.0002047171,0.0023281385
0.3754940711,0.0139765918,-0.0044247788,0.0165413534,-0.2114416272,-0.0241105788,-0.0554170943,-7.46813610282549E-05,-0.0715554858,0.0077397911,0.0102627258,0.0001126146,-2.04041429977094E-14,5.45915136101473E-05,0.0102083692
0.3788819876,0.0181782185,-0.0060150376,0.0029806259,-0.184952247,-0.0114904443,-0.0125348189,7.82829089880762E-05,-0.0168241054,-0.0033618569,0.0008674908,-0.0001141891,-1.57595826222297E-14,-7.67413680738554E-05,0.0007194839
0.3907396951,0.0250708419,0.001490313,0.0072254335,-0.1050094796,0.0455623871,0.102367688,9.64234527882717E-05,0.0965656024,-0.0166108743,-0.0054446461,-0.0004002533,-7.61321152551805E-14,-0.0002901277,-0.0055629045
0.4037267081,0.024447035,0.0057803468,0.0041958042,-0.0200935828,0.1074926522,0,0.0001128939,0.0410545088,-0.0316833553,-0.0172413793,0.0025172212,1.37811079695738E-13,-0.0027096953,-0.0179663053
0.405985319,0.032130035,0.0153846154,0.0222531293,-0.0071086142,0.1120823902,0.0033747589,-3.73636569296663E-05,0.0689163771,0.111028188,0.0199233716,7.9130365007264E-05,-1.25401567827662E-14,5.24788496201545E-05,0.0215971228
0.4054206663,0.0097316082,-0.0111265647,0.0097493036,-0.0088611452,0.1020279885,-0.0227483751,1.84010741285886E-05,-0.0009210681,0.002232632,0.0033641716,-4.99851900498258E-05,-2.08516741288492E-14,-2.40348689735873E-05,0.003768816
0.4116318464,0.0143570697,0.0111420613,0,0.0337144734,0.1277203659,-0.0263231198,9.03263930318226E-05,-0.0159889659,-0.0209129455,0.0010843635,-6.9423111454693E-06,1.92671807504627E-14,0.0001611788,0.0010022509
0.4093732355,0.0110584144,0,0.0193103448,0.0209953907,0.1090121793,0.0814763231,-0.000002554,0.0002669196,0.0863976678,-0.0049544193,-0.0001126288,-3.12915155434005E-16,-8.68105326890356E-05,-0.00531387
0.3997741389,0.0065451054,-0.0082758621,0.0296610169,-0.039538963,0.0534625878,-0.0162488394,-0.000037113,-0.0019688192,0.0643148121,-0.0139324277,-0.0003398392,-1.04244823254092E-13,-0.0004091931,-0.0142868265
0.4042913608,0.0063165975,0.0084745763,0.0027932961,-0.0078875248,0.072150467,-0.0478602178,2.19688363367007E-05,0.0318142936,-0.0092186097,-0.0065681445,-0.0026419745,-1.50265218745732E-14,-0.0005653063,-0.0068016094
0.4110671937,0.0120602659,0.0027932961,0.0096153846,0.0361690234,0.1015909495,0.1228412256,3.13906890858514E-05,0.1698676565,-0.0175698434,-0.0498084291,-0.0013426341,-8.75924163746116E-14,0.0008768742,-0.0514195843
0.4054206663,0.0082035026,-0.0013736264,0.0125348189,-0.000500772,0.0665532873,-0.0292479109,-1.021739921605E-05,0.0526550674,0.0324746479,-0.024137931,-0.0004337183,-5.6003700207584E-14,-0.0002698876,-0.0246953105
0.3997741389,0.0116143104,0.008356546,0.0240112994,-0.0368238327,0.0320945959,0.0603238162,-1.87705570921462E-05,-0.0627380928,0.0039997732,0.0062695925,0.0024315312,4.67475311317104E-13,-0.0015859939,0.0065665378
