"high_close_ratio","volume_ma10_ratio","ad_ratio","obv_ratio","atr5_ratio","adosc5_ratio","b_upper5_ratio","dmi5_ratio","adx5_ratio","adxr5_ratio","slowk5_ratio","macd5_ratio","macdsignal5_ratio","dx5_ratio","cmo5_ratio"
0.1858896451,0.0052468355,-6.79368690101096E-07,-0.0790123978,0.0189091512,4.81498579542726E-05,0.0066991581,0.0013374987,-0.2624617786,-0.1790087947,0.0205142642,0.0020097432,0.0020145769,0.0013374987,0.0003007013
0.0776681774,0.1318926236,0.000001047,0.145892392,-0.0226679089,0.000394412,0,0.0027758944,0.1621096735,-0.0936994386,0.172340615,-0.0025129185,-0.0016100815,0.0027758944,-0.0006708284
0.0765703939,0.0436038014,0,0.1046532135,-0.0760660896,-2.06359402004009E-05,0.133403635,0.0005580476,0.4676175666,-0.036091934,0.0693030351,-0.0259666079,-0.0059858022,0.0005580476,0.0003194097
0.2124453087,-0.0206081858,-1.86951448277495E-06,-0.0742278717,0.0791117719,-0.0011839432,0.0074365313,-0.0003720789,-0.0224166134,-0.2250519382,-0.0101436741,-0.0032779281,-0.0045399309,-0.0003720789,-0.000573675
0.1617121007,0.01006069,0.000000654,-0.0828999696,0.0588610524,-0.00069731,0.0338286988,0.0007901086,0.3337153894,0.0721957173,-0.2119999272,0.0236866934,-0.3694334717,0.0007901086,0.0002360584
0.3346628801,-0.0142946452,-3.31841853666412E-06,-0.0747673058,0.0263855262,-0.0038075572,0.1191337475,6.59483858743093E-05,0.2754214655,0.2909311709,-0.1499653291,0.004082833,0.0099637505,6.59483858743093E-05,0.0002415613
0.0833439288,0.00067476,0.000001134,0.0845473558,-0.0682158448,0.0136201881,-0.1067679764,8.99561804441296E-05,0.2556713954,0.4188584619,-0.1463386055,0.0006121318,0.0027972807,8.99561804441296E-05,-0.000042241
0,-0.1000947201,2.29249548129561E-06,0.0418782258,-0.0963458877,-0.0041924855,-0.4085022147,-1.80725877141198E-19,0.1789925135,0.125182794,-0.0682234122,-0.000221655,0.0008314259,-1.80725877141198E-19,-0.0001500506
0.028437561,-0.0343748551,2.13761694668821E-06,-0.0663260383,0.0615152959,0.0406988798,-0.1529275062,0.0001690124,0.2382845773,0.342773516,-0.02697493,0.0007487314,0.0010478422,0.0001690124,0.0003271977
0.169956247,-0.0700265286,-5.48680453671688E-07,0.0546820362,-0.0127692059,0.000950349,-0.1929483343,-0.0004743629,-0.1587864023,0.0068966215,-0.0370701755,5.79331941153943E-05,0.0005671508,-0.0004743629,-0.000046847
0.0566520823,-0.0803313738,8.22883283164937E-07,0,-0.0903277472,0.0009073342,-0.0159761129,-2.92905699521627E-19,-0.1393830608,0.0408032625,0.0318780327,-0.0001419435,0.0001928632,-2.92905699521627E-19,-5.87617567028136E-20
0.2559380491,-0.0335920784,-1.88972094394725E-06,-0.0579506595,0.0303263617,-0.001141672,-0.0505133176,-0.0005052217,-0.277944169,-0.0686685049,-0.2293119509,-0.0001588262,-3.09806913949648E-06,-0.0005052217,2.93379378986824E-05
0.0553497356,-0.0392412021,1.17339259846396E-06,0.0531605512,-0.0189442542,3.84713565000458E-05,-0.0751827494,8.65292211952453E-19,-0.2631877856,0.0184466744,-0.0020342598,-0.0009730475,-0.000664128,8.65292211952453E-19,-0.0004021471
