"volume","open_lastclose_ratio","high_close_ratio","close_lastclose_ratio","ad_ratio","obv_ratio","sar_ratio","apo5_ratio","rsi5_ratio","willi5_ratio","macdsignal5_ratio","cmo5_ratio","ppo5_ratio","roc5_ratio","ultosc5_ratio"
0.4149969804,0.0296442688,0.4854883721,-0.1672467701,-0.0231444123,-0.0012140622,0,-0.0089100089,-0.0174721803,0.1226830517,1.5537736367902E-06,-0.0002106439,-0.0090987438,-0.0109689708,-0.0998861495
0.3623870309,-0.12,0.4874381246,-0.0564179104,-0.0130519819,-0.0012173594,0.122744474,-0.0084182543,-0.0070048304,0.0037950664,-0.000000849,-0.0001045826,-0.0085580861,0.0024401374,-0.0926667409
0.2721675748,-0.015060241,0.4606151538,-0.0566444884,-0.0184679589,-0.0010502861,0.1304576119,0.0081510082,-0.0083609023,0.0033955857,-3.35561129850776E-06,-0.0001385958,0.0078473633,0.0385744883,0.0217835931
0.24243103,-0.0302419355,0.2303075769,0,0.0042273619,0,0.1051704106,0.0023071852,0,0.0053763441,-4.98533541052268E-06,9.87034162416392E-20,0.0020565402,-0.003159032,0.0388455387
0.3626215418,0.1512096774,0.6247093023,-0.4549831488,-0.0859389364,-0.0015753361,0.472571798,-0.0136653507,-0.0668192069,0.0341732001,-1.15320884176808E-05,-0.0012847542,-0.0135714878,-0.0420642284,-0.3026325168
0.2335288035,0,0.102832807,0.1763059701,-0.0433977855,0.0012187361,-0.0113220896,-0.0141277641,0.0385717881,-0.0072988621,-1.2692516922737E-05,-0.0007425316,-0.0140372525,-0.009415246,0.1472418463
0.3555699674,-0.4938271605,0.4035389282,-0.7545605307,1,-0.0016426933,-0.0236969902,-0.0617760618,-0.0813797947,0.0111234705,-2.79863765765475E-05,0.0357289336,-0.0616366102,0.0356929875,-0.1937828408
0.3126083914,0.097826087,0.2108723383,0.4292667099,-0.0175439278,0.0017499906,-0.0484114818,0.0495495495,0.1099591035,-0.0116678106,-3.79152864139641E-05,-0.0005813234,0.0491920632,-0.008663007,0.2110492794
0.1845249423,0.0632911392,0.3527589738,-0.252928396,0.034984501,-0.00087087,-0.0646326003,0.0190779014,-0.0273485692,0.0085166178,-0.0001099758,0.0008909962,0.0190394077,0.0079936127,-0.1077999085
0.1455826784,0.1450053706,0.1532089031,0.0151498148,-0.0040982462,0.0007572245,-0.059971878,-0.0024852439,0.0032846479,-0.0033481285,7.63622090852713E-05,-4.26962739933691E-05,-0.0022691413,-0.0108760411,0.0893458193
0.1886181633,0.0160944206,0.1213948546,0.136202037,-0.0102054383,0.0009079375,-0.0556128569,0.0003421143,0.0320475783,-0.0127402196,1.22748460542839E-05,-0.0004483798,0.000507804,0.0019339252,0.0255150762
0.2475568449,0,0.1201183577,0.1498881787,-0.0184892769,0.0010866982,-0.0515408798,-0.0120495495,0.0294488628,-0.0153609831,-5.01612364064115E-06,-0.0011288216,-0.0119132688,-0.0425480993,0.2925634177
0.1661147026,-0.1577287066,0.370884929,-0.400442582,0.0340371243,-0.0006536385,-0.0477412922,-0.0040642146,-0.0565597512,0.0823160336,7.72694586772293E-06,-0.005714435,-0.0038779838,-0.0362338198,-0.1657415357
0.2175859224,0.0649350649,0.1676304882,0.1984396201,-0.001486431,0.0009201447,-0.0441995673,-0.0160248744,0.0505622696,-0.0119815668,-1.5253415368259E-07,-0.0005643897,-0.0158731714,-0.0259561348,0.1143382699
