"low_close_ratio","volume_ma5_ratio","volume_ma10_ratio","ad_ratio","atr5_ratio","natr5_ratio","b_upper5_ratio","ema5_ratio","kama5_ratio","dmi5_ratio","rsi5_ratio","slowk5_ratio","willi5_ratio","ppo5_ratio","ultosc5_ratio"
-0.0803469852,-0.1072979607,-0.0758875209,0,-0.0460454005,-0.0660265642,-0.014686786,0.0439470192,0.0038495132,0.0013442632,0.0075495249,-0.0750954964,-0.0072198333,-0.0075927232,-0.0340265715
-0.0163483796,-0.0665520329,-0.0576842613,0.0036552961,-0.0294808843,-0.0273949625,-0.0675626484,-0.0046483959,0.011318538,-4.49295432315675E-19,-0.0185663189,-0.019314327,-0.0017436147,-0.0154319604,-0.0269020815
-0.0851416516,0.0285702263,-0.0251343407,0.0026950971,0.0197151816,0.0516182502,0.0292169309,-0.0807367892,-0.003144911,-0.0011061178,-0.0376055025,-0.1173897728,0.0367965368,0.0344609393,-0.0074687496
-0.1947691847,-0.0755748497,-0.0652943355,-0.001655278,-0.0135616383,-0.0204335562,0.0051482896,-0.0443105362,-0.0020567473,0.0014210912,0.0083071128,-0.0564446953,-0.0068949408,0.0600980857,0.0318046803
-0.0613749224,-0.0288783967,-0.0481935163,0.0015975092,-0.0200251969,-0.0045710548,0.0033051536,-0.0952954675,-0.0431354239,0.0002663992,-0.0339537484,-0.1501376471,0.013667061,0.0131493046,-0.0695385357
-0.1736680328,0.0993832104,0.0189004823,0.0017601368,0.109645696,0.2148221515,0.0252497044,-0.2363828898,-0.2416985657,0.0025714904,-0.0588454083,-0.1741827363,-0.0014785494,0.0146207815,-0.0636781943
-0.160968661,0.0580724519,0.0190761037,0.0016036969,0.018751016,0.0510737769,-0.04709784,-0.2373128431,-0.2301287909,0.0001675192,-0.0242923557,-0.1951830838,0.0007187016,0.007232611,0.0219007603
-0.2615740741,0.1359728568,0.0700626478,-0.0008638553,0.0192798865,0.0008026469,-0.0904363999,-0.096351369,-0.0338322245,-0.0004931283,0.1377554331,-0.0221733158,-0.007465964,0.0031577489,0.0563274829
-0.1503659348,-0.0228516143,0.0074977569,-0.0010746553,-0.0363503585,-0.0631482948,-0.16684139,-0.0072234334,0.0003580854,-0.0003034839,0.0479048971,0.0243575773,-0.0082559031,0.0020515464,-0.0138744676
-0.0100820842,-0.0949521668,-0.029904374,0.0031792013,-0.0088023443,0.0327538414,-0.1891145902,-0.1366506484,-0.0470810643,0.0005154347,-0.0389238234,-0.0960086438,0.0170955339,0.0014925071,-0.0564840802
-0.0307065217,-0.1352650465,-0.0604196835,0.0014944133,-0.0456013394,-0.0494015469,-0.0084144222,-0.1210737132,-0.0215206532,0.0001671323,-0.0092862331,-0.1769294744,0.003525092,-0.0022855649,-0.0057905534
-0.2497544204,0.4887012546,0.3413866427,-0.0030451553,0.0983128907,0.0536008802,0.0942555942,0.1162324025,0.0107583908,-0.0018160543,0.1419255735,0.0528100962,-0.023886205,-0.0065705195,0.1276353797
-0.1313081009,-0.0678382474,-0.0094391876,-0.0002099116,-0.0333641568,-0.0343636777,0.0329971819,0.0481507888,0.0016167738,3.45756540015412E-19,-0.0082795578,0.1884991887,0.0123188406,-0.0067350985,0.0003810265
-0.0093978709,-0.1247829587,-0.0463221784,0.0036719656,-0.0387663943,-0.0480693926,0,0.0278954854,0.0002482153,0.001736492,-0.0014615135,0.0979885089,0.001303581,-0.0083513467,-0.0644027781
-0.1471354167,-0.1234009174,-0.0450195779,-0.0013876954,0.0019687854,0.0294918007,-0.0093470606,-0.0638931333,-0.0037305375,0.000247708,-0.0294783421,0.07632282,0.0263975155,-0.0299338873,0.052720073
