"low","close","close_lastclose_ratio","volume_ma5_ratio","ad_ratio","obv_ratio","natr5_ratio","adosc5_ratio","dmi5_ratio","adx5_ratio","apo5_ratio","macd5_ratio","macdsignal5_ratio","dx5_ratio","ppo5_ratio"
0.2984261501,0.3019093079,0.1767561893,-0.0718294699,0.023670801,0.0778778171,0.0621778359,7.11629288350924E-05,0.0003229803,0.1698949842,0.0013545241,0.0006908501,4.99145150614898E-05,0.0003229803,0.0011763637
0.3014527845,0.3007159905,-0.0385805121,-0.1349974384,0.009665495,-0.0474632281,-0.0687127887,-2.96684413382011E-05,4.51600807090214E-19,0.1231384,-0.0012755102,-0.000348363,1.91744744689201E-05,4.51600807090214E-19,-0.0014237985
0.3008474576,0.3084725537,0.251768461,-0.0078641331,0.0564663356,0.0687210085,0.0809576736,3.96801562904167E-05,0.0001456721,0.1146916409,-0.0017310496,0.00049536,2.04663406968205E-05,0.0001456721,-0.0018808819
0.3099273608,0.3072792363,-0.0377596502,0.0554447597,-0.0492691885,-0.0766668562,0.0185130332,-0.000198917,8.68809019285825E-05,0.0993141296,-0.0009326311,-0.0004390065,3.19264822529046E-06,8.68809019285825E-05,-0.0010586016
0.3056900726,0.3013126492,-0.1895314479,0.0539382607,-0.0814295662,-0.0814438454,-0.0200976748,-0.000455894,-0.0009566094,-0.0705582692,-0.0020528922,-0.0016993069,-2.89245169875884E-05,-0.0009566094,-0.0021263459
0.303874092,0.3144391408,0.4252260009,0.095072996,0.0971848063,0.0952398508,0.0781844865,-5.2887398439066E-05,0.0004161044,-0.0167702515,-0.0021919879,0.000874858,-5.01823591058967E-06,0.0004161044,-0.0022956537
0.3105326877,0.3108591885,-0.1111294448,0.1148430493,-0.0273926617,-0.1154121749,0.0550682819,-0.0002416216,0.0002262439,0.013284663,-0.0007701194,-0.0007161722,-1.56271292225686E-05,0.0002262439,-0.0008447706
0.3177966102,0.3198090692,0.2810231161,0.0552678986,0.0247753544,0.1130852226,0.014157862,-0.0001203096,0.0002162629,0.0381673311,-0.000728863,0.0007767908,3.25468720975456E-06,0.0002162629,-0.0008088684
0.318401937,0.3150357995,-0.1456846204,-0.1205698893,-0.0466482973,-0.061175058,-0.005295173,-0.0004275337,-4.77668857912984E-19,0.0298382953,-0.0014577259,-0.0009713836,-0.000015688,-4.77668857912984E-19,-0.001517651
0.3159806295,0.3144391408,-0.0184864954,-0.0852617528,-0.0160618086,-0.069199824,-0.0594095946,-0.0005415026,-0.0007912775,-0.0814913765,0.0018315018,-0.0012346433,-3.05188987890412E-05,-0.0007912775,0.0017546725
