"open","open_lastclose_ratio","close_lastclose_ratio","close_ma15_ratio","close_ma30_ratio","sar_ratio","adosc5_ratio","adxr5_ratio","roc5_ratio","rocr5_ratio"
0.7699784017,0.2280851064,0.0360688956,-0.0191950318,-0.1442306732,-0.0404464721,-0.0004610692,0.1454488328,-0.0221020233,0.0472969936
0.7678185745,0.1137199434,0.2877348959,0.1751436297,0.0154647111,-0.0382044589,-0.0010753359,-0.0287884723,-0.2067222884,0.1890521952
0.7861771058,0.1390041494,0.4572218929,0.4679237874,0.2537439286,-0.6012834189,-0.0033632258,0.3635252213,0.106192432,0.4115202415
0.8142548596,0.1341789052,0.1018500858,0.5102045636,0.2995572108,0.0175149832,0.1638136941,0.3836690255,-0.0054158594,-0.0748030627
0.8261339093,0.2662251656,0.3368022706,0.6872862092,0.4709477254,0.0381964072,0.0043247485,0.456834388,0.0265733438,0.3185965914
0.8412526998,0.1037419355,0.0492165899,0.6589254783,0.4765033573,0.068720885,0.0013354132,-0.2441194671,0.0004425064,0.0086140718
0.8390928726,-0.0258354756,0.0653690782,0.6405046907,0.4912289687,0.0883448659,0.0004503777,0.2510030213,-0.0072638523,-0.1428691081
0.8466522678,0.0514066496,0.1300694191,0.6680501151,0.5459726745,0.1065474668,-2.35218725891107E-05,0.361761975,-0.0127602164,-0.2074893821
0.8369330454,-0.3816455696,0,0.5993090417,0.5323142444,0.1335728765,7.15798116056314E-05,0.1182257588,-0.0059352103,-0.0663873686
0.8552915767,0.0508860759,0.177034358,0.6547889153,0.6175100289,0.115696198,0.0003203042,0.1993972265,-0.0107100246,-0.102264288
0.8714902808,0.1505617978,0.0634920635,0.6217645418,0.6374869706,0.1220024758,0.000009568,0.2593324564,0.0013355754,0.0093433329
0.8639308855,-0.1248447205,-0.1579414374,0.4337755513,0.5276975191,0.1363669944,-0.0004219874,0.0884667794,-0.0201934603,-0.1459725543
0.8650107991,0.1516981132,0.1759209344,0.4761879616,0.6136836996,0.1127103744,-0.0002027716,-0.1400138524,0.0084616243,0.0298210234
0.8714902808,0.0249379653,0.0946472882,0.465216686,0.6506055692,0.0934176678,-2.05334957501298E-05,0.0302165858,0.0145351609,0.062186679
0.8768898488,0,-0.1252638987,0.2948485471,0.5599482388,0.0931957182,-0.0005498413,0.0968418779,-0.0335475011,-0.1958932209
0.8596112311,-0.2,0.0158137882,0.2298454558,0.5454096621,0.0755782377,-0.0003582052,-0.3738265281,-0.0387604291,-0.0311706861
0.8704103672,0.0249689441,0.0789707187,0.2191822323,0.560490579,0.0614190833,-0.000384388,-0.0718439381,0.1952648031,0.157617809
0.8758099352,0.0248148148,0.1726631393,0.2870091955,0.6259683247,0.0661665409,0.0001894695,0.0400313671,-0.0005289885,-0.0021112761
0.9103671706,0.5386114495,0.3716721768,0.4841144541,0.8043951297,0.0567303496,0.000648499,0.268645769,0.0458824193,0.1806703936
0.9125269978,0,-0.2407438715,0.2659536256,0.6124173048,0.0580222745,-0.000085193,-0.339891437,-0.0091042889,-0.0766294737
0.8995680346,0.0969843185,0.0306737894,0.2479674521,0.588712722,0.093497006,-6.59720690151679E-05,-0.0959449752,0.0015003416,0.0097514276
0.909287257,0.2660649819,0.2906996734,0.4044279353,0.7131189461,0.0513684752,-0.0001487843,0.137578806,0.020502905,0.1382548273
0.9265658747,0.1891764706,-0.1047058824,0.2882477325,0.6062523831,0.0306329222,-0.0007720203,0.4390088586,-0.0177278211,-0.1797997177
0.9103671706,0,0.4373834943,0.540287139,0.8127667222,0.107841302,0.000028958,0.0741011507,0.0074580987,0.0419484398
0.9384449244,-0.0691513761,-0.0437418087,0.4564746064,0.7343367501,0.0040176737,0.0003732711,0.0584620516,0.0197707108,0.131935644
0.9200863931,-0.3932105869,-0.321880651,0.1896743979,0.4958421472,0.0501968053,-0.0002915571,-0.1595706492,-0.0232935719,-0.2310834724
0.9017278618,-0.2847697757,-0.1050767414,0.0824169948,0.3937518011,0.3692400323,-3.33316392107387E-05,-0.3212926982,-0.0624441913,-0.2542267218
0.9179265659,0.2392857143,0.0151360544,0.0680164779,0.3594869352,-0.0084105751,-0.0002949565,-0.1071031456,-0.0309439724,0.0793943065
