"close_lastclose_ratio","volume_ma5_ratio","trsrange_ratio","ma5_ratio","dmi5_ratio","apo5_ratio","aroonup5_ratio","macdhist5_ratio","dx5_ratio","cmo5_ratio"
0.2879205736,0.4884329173,0.0714285714,0.1892378893,-0.0041454984,0.0026518804,-0.0666666667,0.0012496113,-0.0041454984,-0.0368840326
-0.503117376,0.0591452814,0.0765306122,-0.3083623891,0.0071936335,-0.0087155011,-0.1,-0.0053485248,0.0071936335,-0.0543011608
-0.3242941012,0.1700699307,-0.0401785714,-0.4484924097,0.0158094955,-0.0190518387,-0.2,-0.0287365047,0.0158094955,0.0111118438
0.2315369261,-0.2679887672,-0.051843318,-0.2090849364,-0.0027249973,0.0737704918,0.4,-0.0032449535,-0.0027249973,-0.010243818
0.0652418448,-0.3237067147,-0.0162337662,-0.1400420744,-0.0019228414,0.0099354198,-0.1,-0.0075649481,-0.0019228414,-0.0062504861
-0.4711484594,0.0507200437,0.0803571429,-0.5531408636,0.0071312934,0.0131456851,-0.2,-0.0608913532,0.0071312934,0.0402185401
-0.1003315554,0.0342118834,0,-0.32891242,0.0056953452,8.58295425285383E-05,0,0.0016489408,0.0056953452,0.0020440137
0.0504713561,0.0136533454,-0.0184729064,-0.1253717314,-0.0051298965,-0.0032445355,0.4,-0.0028951211,-0.0051298965,-0.0028179154
-0.1509543088,-0.0272352941,-0.0480769231,-0.3322673267,0.0027906506,0.001383862,-0.1,-0.0010816164,0.0027906506,0.0042783577
-0.0846344667,-0.1933873217,-0.0751879699,-0.4161687577,-0.0015809958,0.0029449298,-0.2,-0.0018155233,-0.0015809958,0.0018634964
-0.4593722499,0.2723997281,0.275974026,-0.4017985691,0.0068277217,-0.0015810935,0,0.0154498909,0.0068277217,0.0063178104
-0.4724694524,0.2973067108,0.0318877551,-0.598925581,0.0022509202,0.0025787438,0.2,0.0050800036,0.0022509202,0.0024272564
0.0900621118,0.0453707544,-0.0595238095,-0.5883449202,-2.5173890409631E-18,0.0038994111,-0.2,-0.0020384105,-2.5173890409631E-18,-0.0029974512
-0.0895752896,0.2404830167,0.0324675325,-0.558305251,0.0008676803,0.0014143362,0.2,-0.0029124857,0.0008676803,0.0007127454
0.0720496894,-0.0426462503,-0.0274725275,-0.4790972055,-0.0040012326,0.0002367284,-0.2,-0.0075163909,-0.0040012326,-0.0034381242
-0.143475572,-0.0211472183,0.0162337662,-0.3002438941,0.0031949267,-0.0007584155,0,0.012346975,0.0031949267,0.0021631074
-0.0180910792,-0.221133637,-0.0744047619,-0.0487524322,-0.003571263,-0.0036701737,0,0.0045659538,-0.003571263,0.0002494119
0.7606557377,0.142671047,0.4974489796,0.3123547137,-0.012111673,-0.0074873897,1,0.0185029037,-0.012111673,-0.0268178904
-0.1904761905,0.1414676042,-0.1010781671,0.2520349185,0.0283066123,-0.0123313506,0,-0.0003319418,0.0283066123,-0.0138885472
-0.1751736635,-0.110043606,-0.0543478261,0.1156745129,-0.0127763894,-0.0362997658,-0.04,-0.0020715314,-0.0127763894,-0.0420256109
