"close","volume_lastvolume_ratio","ad_ratio","b_middle5_ratio","ema5_ratio","dmi5_ratio","macd5_ratio","macdhist5_ratio","cmo5_ratio","rocp5_ratio"
0.4394727634,0.0753541589,-0.1139462773,0.0325350656,0.0799608544,0.0061438295,0.037096749,-0.0044335493,-0.0147103864,-0.0089893331
0.4386348569,-0.0231949451,0.0192628458,-0.0097026108,0.0425054533,0.0025457507,0.0020269567,0.1002195294,-0.0008432723,-0.0173380465
0.4500386726,0.2180684845,-0.2469979471,0.1528162767,0.1713911007,0.0025991713,0.0092195977,0.0232084878,0.0069648888,-0.2287794406
0.4525708077,-0.0191783608,0.0083852834,0.1514321637,0.144533475,0.0009196633,0.0026262068,0.000822847,0.0003950142,-7.83068527063953E-05
0.4753968546,0.3020940387,-0.4864450281,0.3321576372,0.3765712965,0.0007438422,0.0062729088,0.0053263788,0.0017252648,0.01632315
0.4775054326,-0.0819399403,0.0359078991,0.2818460665,0.2708039155,0.000084353,0.0016720754,-0.0001611619,6.27789042106168E-05,-0.002012794
0.4775054326,-0.039098129,-0.120627135,0.28328006,0.1776087054,-0.0004316526,0.0003035058,-0.0013872532,-1.48998976103978E-18,0.0003209431
0.4753968546,-0.019057832,0.2037100917,0.1817257118,0.0924370384,0.0001130085,-0.0004956403,-0.0026797184,-0.0007820302,-0.0048730605
0.481312843,0.0961033134,-0.2706963736,0.2037608717,0.1301995929,-0.0034314536,-7.11368380922717E-05,-0.0020736221,0.0004942413,0.0017008338
0.4787715001,0.0844676069,0.5568022078,0.0236358149,0.0567441332,0.0174538024,-0.0007605602,-0.0080853609,-0.0010747059,-0.0118860508
0.481312843,-0.0691107715,0.057048174,0.0266292289,0.0669713318,-0.0009750528,-0.0005824096,0.003403119,0.0004136952,0.0016494123
0.4682147987,0.0085401324,0.2123273303,-0.0648758528,-0.105789255,-0.0032806958,-0.0025663909,0.0100234778,-0.0048768198,-0.0460352886
0.4627177636,-0.0454142927,0.1394484611,-0.0888821048,-0.1344516342,0.0027659659,-0.0037735966,0.0016420284,0.0077323682,0.0049615734
0.4690527052,-0.0293745649,-0.0981195701,-0.0864045275,-0.0166276215,0.003860683,-0.0019445658,-0.0011503049,-0.004315097,-0.0006012178
0.4652545026,-0.0237950166,0.1147955447,-0.0957572414,-0.0553567347,-0.0029645434,-0.0041991156,-0.0004601809,-0.110977276,0.0014501597
0.4618706493,-0.0170800774,0.0396009571,-0.1385259614,-0.0765945564,0.0131710397,-0.0108554001,-0.0001940209,0.0036727352,0.005764298
0.4475065375,0.2160030508,0.1933531002,-0.1487794155,-0.220039493,0.0071649187,0.0526013548,0.0022557279,0.0053301466,0.0012701417
0.4479254908,-0.0722548273,0.106736439,-0.1072299436,-0.1436958391,6.10050441889698E-19,0.0028752576,-0.0005547848,-0.0001748994,-0.0037093847
0.4513047402,0.006929056,8.1848391110455E-05,-0.1294863781,-0.0560520707,-6.10050441889698E-19,-0.0001534709,-0.0018607472,-0.0015772391,0.0024570138
0.4627177636,-0.0018473541,-0.1186536653,-0.018652107,0.1000624722,-0.003517212,-0.0034132914,-0.00563942,-0.005971134,-0.0114534967
0.461023535,-0.0367342809,0.0298616343,-0.0062356093,0.0460080004,0.007695642,-0.0031584386,0.0049179959,-0.0021537022,-0.0088803563
0.4631367169,-0.0245467219,0.0245593396,0.1150966956,0.0558311724,0.0006762659,-0.0053138595,0.0012195579,0.005115218,-0.2682155954
0.4720130014,0.1582305476,-0.0366487474,0.1761616352,0.1427748716,0.0110774435,-0.040419775,0.0028988049,0.0075963696,0.0072214602
0.4677912416,-0.0273485763,0.084034693,0.1193152421,0.0445324463,0.000159692,0.0013596161,-0.001322956,-0.0022667226,-0.0042913119
0.4606045818,0.1340753733,0.0235480446,-0.0151850419,-0.0549892095,-0.0032765078,-0.0040914958,-0.0039839081,-0.0065520151,-0.0150547108
0.4606045818,-0.0725941573,-0.0550968246,-0.0030132789,-0.0367825731,0.0086820652,-0.0055994722,-0.0158425493,7.06684319036775E-19,-0.0107190032
0.4521518544,-0.0334604315,0.0467900299,-0.0790217513,-0.12463553,0.0002470531,-0.0663257642,0.0125271011,0.0112338492,0.3358847995
0.4572207285,-0.0006715582,0.0149252171,-0.1069164307,-0.0232642439,1.15133146137667E-18,0.0001578327,-0.001685506,-0.0028940401,0.004299328
0.4525708077,-0.0040280465,0.0860467816,-0.1107191462,-0.0710740848,0.0018213367,0.0030727063,0.0005791892,0.0054418432,0.0005115993
