"volume","close_ma60_ratio","adosc5_ratio","b_lower5_ratio","ema5_ratio","sma5_ratio","adxr5_ratio","apo5_ratio","cmo5_ratio","ultosc5_ratio"
0.3316799768,-0.0240360141,0.1417104214,0.0962627369,0.0396328777,0.1258722491,-0.0535617446,-0.0024053287,-0.0025723209,-0.1685396584
0.3254896493,-0.1391819375,0.0303192235,-0.1328794997,-0.3602223942,-0.0896560953,0.0549881121,-0.0040980807,-0.0087780988,-0.0954943461
0.1859931293,-0.0773410019,0.0009538243,-0.0543274135,-0.0322301942,-0.197640118,0.0072896894,-0.0127649129,-0.0058793584,-0.0224885452
0.2176396449,-0.1484309171,0.0063510156,-0.1357242525,-0.2615497868,-0.3248484848,0.1663765649,-0.027323326,-0.0312151738,-0.0436870512
0.2107834389,-0.0557379761,-0.0165162491,0.0616618307,0.1264397706,-0.1636141636,-0.4647106458,0.1537190083,-0.0079127586,0.2975336308
0.1668287677,-0.0896978728,-0.0285956655,0.0369058425,-0.0363401105,-0.1459694989,-0.3913482357,0.0103305785,-0.0055609473,0.089022118
0.148548898,-0.1147135896,-0.0711208454,0.0306341456,-0.1146157322,0.0366120219,-0.3915528596,-0.0034030141,0.0360501407,0.1612023208
0.1897474793,-0.0770550153,0.1316336968,0.0014618882,0.0441960675,-0.0182910183,-0.3642865017,-0.005634861,-0.0070607128,0.0323256349
0.1165610779,-0.0854452382,0.0243240312,0.1003439429,-0.0007364516,0.1097910692,-0.5186495765,-0.0175012154,-0.0047857433,0.1728291224
0.2548663782,0.0127178181,0.0288095739,-0.1030874113,0.3313967182,0.1277755074,0.2081337567,-0.0396694215,1,0.0368426723
0.2067825912,0.0591202114,0.0078760455,-0.047652479,0.3690263052,0.2912252105,0.4137559483,0.0991735537,0.0014835829,-0.008452538
0.5264767556,-0.1226239437,-0.0098702702,-0.0378756148,-0.3797120407,-0.0361673414,-0.4241521356,-0.0033057851,-0.0073406218,-0.323554612
0.4507684929,-0.1346514973,-0.0287040039,-0.1189568179,-0.3152452601,-0.1447866018,-0.3806869498,-0.006675143,0.0009208185,-0.2284661707
0.3319075132,-0.2075529206,-0.1135817033,-0.2557656909,-0.483215913,-0.2905149051,0.6724591999,-0.028708134,0.0031824745,-0.1584178998
0.2687394039,-0.2181613619,0.0225986211,-0.1800793451,-0.3867088984,-0.5300054555,0.8112914758,0.2975206612,0.0003898914,-0.1508592558
0.2601822522,-0.1213134701,-0.0089392013,0.2649362961,0.0476571082,-0.4438923395,-0.3323352698,0.0254291163,-0.0042712765,0.2587849931
0.1696852414,-0.1604696216,0.0071991988,0.0043337026,-0.121964894,-0.1494493239,-0.4178042489,0.0018830422,0.0101105475,-0.0365376949
0.1059639065,-0.1266642413,-0.0053449644,0.019065036,0.0109414966,-0.0562316408,0.0370596695,-0.0014584346,-0.0029115178,0.2598681044
0.2025553226,-0.2255633839,0.012805541,-0.1193291759,-0.3625204174,-0.112605042,0.3279750452,-0.0030991736,0.0178233342,-0.0643588636
0.2080418488,-0.269194197,0.0172541813,-0.2008447397,-0.430109392,-0.1881493962,-0.0379115194,-0.006729634,0.0013508309,-0.2406366341
0.2017823682,-0.2227214587,0.0027774842,-0.0473241302,-0.1640447095,-0.3023124647,-0.1620671137,-0.003889159,-0.0018871973,-0.329711431
0.1928761042,-0.1763233469,-0.0019194609,0.005145647,0.0162054172,-0.1331629756,-0.3681912519,-0.0005765904,-0.0028736997,0.3791609672
0.9020165968,-0.4378421195,0.0298846185,-0.528832526,-0.9336698872,-0.7632066069,0.6100700123,0.0218417946,0.0187175585,-0.4881495617
0.278146471,-0.3711231771,0.0004355829,-0.1838875155,-0.4428949226,-0.4270606982,0.6475109639,0.0050214458,-0.0016028297,0.7937999859
0.3128803426,-0.3229571369,-0.0030580094,-0.0699707512,-0.1683045155,-0.2351908732,0.1361839971,0.0005219661,-0.0015674089,0.1163281948
0.1653910502,-0.2823546243,-0.0065529556,0.0146658943,-0.0148020343,-0.2561388031,-0.2099029227,-0.0007668058,-0.0017893822,-0.0483613065
0.2340657625,-0.260406672,-0.005056624,0.2115338162,0.0227493314,-0.3170659568,0.0911615956,0.0023738351,-0.0010356437,0.0057113981
0.2036483894,-0.1946324209,-0.0075524689,0.1542486245,0.2107818208,0.399165922,-0.01248951,-0.0144427505,-0.0076413096,0.5478319174
0.2062104042,-0.1466468558,-0.0074779316,0.0829147043,0.2696527192,0.3560673162,-0.1792561258,-0.0230636171,0.0082795447,-0.1410475339
0.1634034532,-0.1129747897,-0.0123557656,0.0798508413,0.2754386229,0.3336262449,-0.1503072985,-0.2396694215,0.0022194476,0.1417787218
0.3978160971,0.0579220674,-0.0403234217,-0.1080708785,0.7594518738,0.6233464166,0.0479994612,0.0429116338,0.0054528145,0.1759628863
0.2423819934,0.0966678366,1,0.1363307273,0.6238118326,0.6724014337,-0.0367439197,0.0178093354,0.0003430109,0.0790475101
0.5064602481,0.2454357575,0.0762263915,0.0687990484,0.9072917965,0.8516949153,0.27732159,0.0050806124,0.0009043431,0.2264648064
0.236483894,0.2340964358,0.0135819329,0.3063110679,0.5622613639,0.7428967429,0.230118517,0.0037105751,-0.0003124372,-0.0047629665
0.2513585259,0.1927341793,-0.0009078063,0.5376346302,0.2498644263,0.6028629857,0.6342101425,0.002347303,-0.001423907,-0.1858873171
