"volume","high_close_ratio","low_close_ratio","close_lastclose_ratio","volume_ma10_ratio","close_ma60_ratio","trsrange_ratio","natr5_ratio","adosc5_ratio","apo5_ratio","macdhist5_ratio","cci5_ratio","cmo5_ratio","ppo5_ratio","ultosc5_ratio"
0.1061205183,0.0398702235,-0.3344848124,0.2652996445,-0.0169541026,0.1728321804,0.0333333333,0.0285404576,7.24814261068729E-05,0.0043878894,5.28544444226455E-05,-2.31983932458013E-15,3.81016384643163E-05,0.0041685674,0.0260812587
0.3452503523,0.3096304591,-0.4329324699,0.4089041096,0.2636487743,0.3178605433,0.1333333333,0.2674179905,4.97063812027869E-05,0.0081210779,0.00022076,1.02904338806263E-14,2.86195926459167E-05,0.0077878772,-0.0564771593
0.1167776616,0.3129598189,-0.0729312763,-0.1443423598,-0.037940947,0.2637870995,-0.0666666667,-0.0054820212,-7.44748869273624E-05,0.0084815321,-0.000257509,-6.19788126290144E-15,-2.975384900229E-05,0.0082280072,-0.0418660026
0.1092330374,0.281404478,-0.0749459524,-0.3647360704,-0.0445169297,0.1301236963,0.0266666667,0.0616771186,-0.0001430729,-0.0046110666,-0.0008202765,-2.10963499002378E-14,-8.52611216909486E-05,-0.0047343875,-0.199840109
0.0912734703,0.4099332839,0,-0.2623681567,-0.0677222559,0.0372528725,-0.0222222222,0.0027072426,-0.0002410842,-0.0042510628,0.0035943338,2.31295352868479E-14,-0.0003821501,-0.0043123994,-0.1030686474
0.1505813623,0.204390893,-0.1143136297,0.0382202305,-0.0023081943,0.0516251968,-0.0266666667,-0.0621288668,-0.0003014439,-0.0085679315,6.70077484663699E-05,-1.05404140391063E-15,-0.000024327,-0.0086148068,-0.1189280411
0.2808793338,0.1945538981,-0.68914206,0.686031665,0.1115842138,0.2914184244,0.2666666667,0.2422406894,0.0001282263,-0.015503876,-0.0007411697,-2.48085838770247E-14,-0.0004024423,-0.0155746637,0.1527783384
0.1421121502,0.3539829303,-0.1099882491,-0.145114244,-0.0408509198,0.2371055711,-0.0666666667,-0.0047597148,-0.0001517151,-0.0465116279,0.0006351105,1.13074742021426E-14,-3.84056180886519E-05,-0.0463655605,-0.0139705342
0.123985481,0.2385677308,-0.296507484,-0.1466830467,-0.0398375731,0.183268923,0.0222222222,0.0352271533,-9.64288461683535E-05,-0.0058139535,-0.0016053856,-1.29350357585484E-14,-6.29477801511838E-05,-0.0058371175,0.0505327577
0.0765629648,0.3648292039,-0.0377861209,-0.2595007452,-0.0945181318,0.090197716,-0.0380952381,-0.0320171987,-0.0003135866,-0.0135658915,0.0021026877,-7.22548359898805E-14,-0.0002794365,-0.0135780113,-0.0029180281
0.0837272206,0.3699821588,0,-0.1889718916,-0.0843049846,0.024915948,-0.0133333333,-0.0480834211,-0.0008403695,-0.0325581395,0.0003514369,2.15406365026278E-14,8.79447490573168E-05,-0.0326089602,-0.1029120916
0.0678027871,0.206127926,-0.0768567558,-0.0383281972,-0.0852793601,0.0132486283,-0.0296296296,-0.0901682101,0.0043352651,-0.2209302326,-1.9990943125062E-05,-2.16712330041054E-15,9.34420002347994E-06,-0.2223408792,-0.255496235
0.0694838855,0.2055456438,-0.0383198231,0.0384367757,-0.0785924502,0.0276252535,-0.019047619,-0.1054910844,0.0005748264,0.0191518468,-0.0001947809,-6.2651498230262E-15,-1.83537868351391E-05,0.0193772214,-0.0113120415
0.1204422027,0.1261788865,-0.1960291531,-0.3066255778,-0.0003776234,-0.0775295243,0.1555555556,0.1031122817,3.04636414705264E-05,0.0180045011,0.0001698475,2.51418769114303E-14,9.0736640289133E-05,0.0182012377,-0.113480088
0.1281662828,0.164436515,-0.4215180545,0.3137151865,0.0057206172,0.0314687115,0.0205128205,0.0719147,-0.0002210306,0.0038054968,-0.0004764452,-1.28375096952896E-14,-8.262356415462E-05,0.0038157041,0.4435124925
0.0849463502,0.1226345358,-0.1524181729,0.0766563945,-0.0523428044,0.0579868434,-0.0711111111,-0.0948108049,-0.000272832,-0.0014534884,-0.0010225539,-6.61451622803423E-14,-0.0001217871,-0.0014545027,0.1330383284
0.0633862869,0.2494736842,-0.077515528,-0.2286772217,-0.0638241,-0.0213588299,0.019047619,-0.0360759175,-4.91838322913974E-05,-0.0069767442,-0.0009573573,-1.73132476113125E-14,-0.0012579252,-0.0068718514,-0.0757615567
0.0690911633,0.0414604888,-0.115942029,0.0387662338,-0.0415783491,-0.0067464927,-0.0666666667,-0.1415400213,-0.0003444036,-0.0071982281,-0.0006597217,2.91393662692557E-15,-2.47424239646498E-05,-0.0071170795,0.1056795952
