"volume","open_lastclose_ratio","high_close_ratio","close_ma5_ratio","volume_ma5_ratio","close_ma30_ratio","volume_ma30_ratio","close_ma60_ratio","natr5_ratio","b_upper5_ratio","kama5_ratio","apo5_ratio","willi5_ratio","macdsignal5_ratio","rocr5_ratio"
0.0793271273,0.0440267486,0.0131863473,0.1046642524,-0.0211205181,-0.1997682809,0.0057823762,-0.2051813,0.0287886099,-0.0697202343,0.0078327824,-0.0020733652,-0.0329573421,-0.0002700936,0.1984533033
0.0726392798,0.0522298456,0.2548685544,0.0181289228,-0.0342084752,-0.2224546849,-0.0074043902,-0.2268346765,0.0540489268,-0.0053413856,0.0002990435,-0.004320432,0.0460704607,-0.0003696331,0.0601195997
0.0779682162,0.0106264177,0.3208414631,-0.1441274387,-0.0276247177,-0.2876427399,0.0010006908,-0.277359545,0.0608212592,0.0078779821,-0.0248319204,-0.0048406139,0.0457665904,-5.63857145876313E-05,-0.1237847121
0.1447044131,0.0552531301,0.2203984592,-0.1827597288,0.2390813901,-0.3109587529,0.1180145714,-0.2987204678,0.0008592964,-0.0026671363,-0.0541691698,-0.001850362,-0.0020421134,0.0001611002,-0.0676502882
0.1173546249,-0.0056321095,0.1996789727,-0.1723454196,0.0868056745,-0.3019498415,0.0631887851,-0.2979139558,-0.0416443377,0.0115232009,-0.0227732219,-0.0046574116,0.0013446885,0.0001205714,0.116392115
0.0838856015,-0.0677922078,0.2461357668,-0.2739400185,-0.0699872278,-0.3738976012,0.0056038106,-0.3525256941,0.0520748299,-0.0870779997,-0.5488957211,0.0121613486,0.0030434783,0.0003782257,-0.3303144496
0.0800146979,0.0709032696,0.0880936644,-0.1012656746,-0.0928642959,-0.3278991794,-0.0010950266,-0.3271267952,-0.0689395563,-0.1696185844,-0.1358556848,0.0062049062,-0.0074962519,0.0001247853,0.119729147
0.0807209859,-0.0465240642,0.2883529139,-0.1840568674,-0.0916672795,-0.3758673394,-0.0014378081,-0.3653237714,0.0226849495,-0.0647614041,-0.2047230183,0.0022054868,0.009057971,0.0001795034,0.0216100932
0.1854635377,0.0420787681,0.317671093,-0.0066248147,0.3126811555,-0.3076702987,0.1767965785,-0.3251906075,0.1178877574,-0.0751512778,-0.016900451,-0.001055409,-0.0124937531,-0.0001400097,0.1676717824
0.0985382487,0.1111954642,0.0139775281,0.268276208,-0.0306285601,-0.1779721398,0.0251332883,-0.2448671061,-0.0113493834,0.0835065945,0.009553214,-0.0023427553,-0.0419718456,-0.000753257,0.2151957659
0.16217332,0.0332181818,0.1240609002,0.256428168,0.1514274473,-0.134511016,0.12400055,-0.2215102666,0.1018248419,0.144437428,0.1111750738,-0.0116924876,0.2420681551,-0.0012060827,0.2159635227
0.1459371524,0.0764389457,0,0.2964729106,0.0380746252,-0.0667829078,0.0868600596,-0.1813171274,-0.0224415124,0.1571078704,0.165375255,-0.0291564292,-0.0434782609,-0.0019433306,0.0338239933
0.0997961727,-0.1277622378,0.1791990781,0.0584033658,-0.1256432166,-0.1106279129,0.0096480262,-0.2136034831,-0.0102748401,-0.0299767007,0.0843324585,0.0472184532,0.0622412008,-0.0024608483,0.0278905217
0.0535774627,0.0545992469,0.1102763557,-0.0123475492,-0.235056178,-0.0988377198,-0.0626401899,-0.2090759172,-0.0887405273,-0.0970336077,0.0541174103,0.007921539,0.0138107417,-0.0039548256,-0.0942828374
0.0552466107,-0.0109198494,0,0.0796322904,-0.209720055,-0.0306705565,-0.0584916807,-0.1681625849,-0.0756261216,0.0325744836,0.0668149882,0.0010509721,-0.0434782609,-0.2313170766,-0.1061150917
0.1083121731,0.0319405594,0.0390433746,0.18971192,0.0766057614,0.0514755922,0.0260354601,-0.1156780768,-0.0561429878,0.1324969802,0.1526076748,-0.0008445107,0.0090727958,0.0055376579,0.0657671069
0.0524107007,0.0206196039,0.0128943986,0.1941183107,-0.1308943972,0.0776033532,-0.0634365342,-0.0974268336,-0.0478326795,0.0975904429,0.1147966979,-0.0022922636,-0.0283413849,0.0022167265,-0.056803566
0.0406193346,0.0102146931,0.1985444331,0.0119115879,-0.1555482073,0.0227974295,-0.0824802839,-0.1326452015,-0.0146903224,-0.0021250479,0.0516201032,-0.0030402385,0.6390293225,0.0004664392,-0.0030380323
0.0385632766,-0.1782541322,0.0400120079,-0.0611485474,-0.156233703,0.0119132095,-0.0843625571,-0.1388679065,0.0047865093,-0.0424919297,0.0223666402,-0.0024337867,0.0142806645,-0.0001889213,-0.0270277467
0.0931173419,-0.0105655795,0.0508273749,0.1345818381,0.1793678455,0.1336068739,0.006708546,-0.0586667349,0.0575025634,0.0700747988,0.1144992189,0.0016528926,-0.0353198687,0.000463623,0.0834043253
0.0969738188,0.0603966942,0.177251262,0.1241350047,0.2285822529,0.1466110237,0.0112022043,-0.0486085776,-0.0647287292,0.0565418597,0.0543739733,-0.0022727273,0.0772113943,0.0004854447,-0.1003801453
0.0456288308,-0.0200592885,0,0.1350712528,-0.124144907,0.1671540668,-0.0727321557,-0.0329325978,-0.109359025,0.0533270972,0.0531414546,-0.0013852814,-0.0124223602,0.0003752697,-0.0072978819
0.0532130633,0.0597449313,0.1245768992,0.1181952601,-0.0845229468,0.1928557462,-0.0590114151,-0.0145857448,-0.0549697937,0.0461052509,0.3169922523,0.0022492971,-0.0034506556,0.0002835797,0.1275311034
0.0548079012,0.0394749635,0.0865864572,0.0770102981,-0.0913700602,0.2102459091,-0.0553233255,0.0010530453,-0.0107982354,-0.0504051796,0.3639328195,0.0040033361,-0.0043478261,0.0001885303,0.0528661269
0.073683228,-0.0097988737,0.085676617,0.0932118908,0.0612868659,0.2323041218,-0.0217931944,0.0227567786,-0.0138133435,0.050988562,0.262836769,-0.0012303486,0.0210803689,0.0001586992,-0.1325574642
0.0461593863,0.0484795415,0.1217554712,0.0795383955,-0.0703444734,0.2402692532,-0.0686751313,0.0363608512,-0.0661388842,0.0325707158,0.1755834029,0.001026393,0.0090778786,8.20649474805214E-05,0.005750059
0.0444725158,0.0096452328,0.1848879377,-0.0055276819,-0.0826852565,0.2020160061,-0.07002972,0.0199169951,0.1249658606,-0.0138766543,0.0053218278,-0.0004163775,0.0526086957,-0.0002107451,-0.0688617095
0.0940404041,0,0.1078882957,0.1005612898,0.2259585106,0.2628145826,0.0148412859,0.072351413,0.103476293,0.0624927294,0.0798183126,-0.0015625,-0.0253062323,-2.17958125133146E-06,0.0679801526
0.0432219917,0.0284890067,0.0836262364,0.081706048,-0.1277014262,0.2611609823,-0.0720601168,0.0825533624,-0.076845084,0.0403104008,0.0688089952,-0.0032634033,-0.0077831455,1.90321792218708E-05,-0.0131054561
0.0347786846,-0.0567832168,0.0849328964,-0.0090627159,-0.1522968634,0.2098506245,-0.0853905919,0.0593532552,-0.0473824742,0.0008062189,0.0023179084,-0.003030303,0.0559006211,-0.0002830893,-0.0917989425
0.0251747718,-0.067282197,0.0727996255,-0.0126790126,-0.2159238426,0.2025426677,-0.1017622237,0.0632251518,-0.0536405185,0.0009629169,0.0010643666,-0.0045454545,0,-0.0004420062,-0.01864632
0.0458903775,0.0096117424,0.0829175395,0.0718788601,-0.0253085972,0.2525731466,-0.0624292873,0.107268459,0.012794685,0.0208649554,0.0707146517,0.0036363636,-0.0244565217,-0.0001469622,0.131829781
0.033688347,-0.0093836672,0.0118654738,0.0520049469,-0.0352890267,0.2341681023,-0.0840899531,0.1064515462,-0.0726619158,0.0199809856,0.0141072997,-0.004040404,0.0182051831,-0.0001270157,-0.1037927706
0.0495723034,-0.0093995987,0.2583874031,-0.1064236072,0.1400075338,0.1316373848,-0.0497441941,0.0462169192,0.0896870533,0.0096564021,-0.0143002257,-0.012012987,0.1141304348,-0.0008174934,-0.1389624579
0.0547583404,-0.0487355954,0.2011155121,-0.1798157416,0.1394528279,0.0701967868,-0.0362862513,0.0133119437,0.0487007194,0.0368214297,-0.0433932041,-0.023923445,-0.0038647343,-0.0016301683,-0.0208061307
