"close_lastclose_ratio","volume_ma15_ratio","trsrange_ratio","b_middle5_ratio","ema5_ratio","adx5_ratio","aroonup5_ratio","willi5_ratio","cmo5_ratio","ppo5_ratio"
-0.220113852,-0.1462473847,0.0162337662,0.2607490714,-0.0350629413,-0.2766123086,-0.04,0.0656732892,-0.0358591741,-0.0717389363
-0.0637362637,-0.1277129329,-0.0297619048,0.2073948734,-0.0783484207,-0.1894755135,-0.05,0.0216505349,0.0109033198,0.013778195
0.2879205736,0.1475576904,0.0714285714,0.1892378893,0.1954174208,-0.2352605552,-0.0666666667,-0.0281456954,-0.0368840326,0.002611723
-0.503117376,-0.0354195289,0.0765306122,-0.3083623891,-0.3087523154,-0.1215409508,-0.1,0.1024791985,-0.0543011608,-0.0087258149
-0.3242941012,0.0538539065,-0.0401785714,-0.4484924097,-0.4833358732,0.2275403092,-0.2,-0.000072076,0.0111118438,-0.0190595367
0.2315369261,-0.1547335973,-0.051843318,-0.2090849364,-0.1304858259,0.0526209971,0.4,-0.0131346578,-0.010243818,0.0737299435
0.0652418448,-0.1780376731,-0.0162337662,-0.1400420744,-0.0312550129,-0.019693866,-0.1,-0.0048949035,-0.0062504861,0.0099166302
-0.4711484594,-0.0358989044,0.0803571429,-0.5531408636,-0.4271528872,0.1793933261,-0.2,0.038867865,0.0402185401,0.0132654787
-0.1003315554,-0.0361201753,0,-0.32891242,-0.3725372413,0.3489017254,0,-0.0190818274,0.0020440137,0.0002035713
0.0504713561,-0.0733839754,-0.0184729064,-0.1253717314,-0.2077069044,0.0012175705,0.4,-0.004330107,-0.0028179154,-0.0031595764
-0.1509543088,-0.071338182,-0.0480769231,-0.3322673267,-0.2682442776,0.0808578955,-0.1,0.0140728477,0.0042783577,0.0014915439
-0.0846344667,-0.126831396,-0.0751879699,-0.4161687577,-0.2521268954,0.0097654296,-0.2,0.0020654722,0.0018634964,0.0030649495
-0.4593722499,0.1148599014,0.275974026,-0.4017985691,-0.5611142253,0.2066254071,0,0.0136732131,0.0063178104,-0.0014216159
-0.4724694524,0.1638803477,0.0318877551,-0.598925581,-0.7762579062,0.2383784296,0.2,0.0009875683,0.0024272564,0.002776213
0.0900621118,0.0404389899,-0.0595238095,-0.5883449202,-0.4521188651,0.1699070633,-0.2,-0.0043977649,-0.0029974512,0.004060407
-0.0895752896,0.1929170164,0.0324675325,-0.558305251,-0.3803329125,0.1577472465,0.2,-0.0048708875,0.0007127454,0.0015917654
0.0720496894,0.0505706763,-0.0274725275,-0.4790972055,-0.1947100805,-0.031752473,-0.2,-0.0058997708,-0.0034381242,0.0004039132
-0.143475572,0.0781436089,0.0162337662,-0.3002438941,-0.2531776673,0.0593582857,0,-0.0041617047,0.0021631074,-0.0006347965
-0.0180910792,-0.076539533,-0.0744047619,-0.0487524322,-0.1852248041,-0.0679570709,0,-0.0044554962,0.0002494119,-0.0035760809
0.7606557377,0.1812956263,0.4974489796,0.3123547137,0.5272076768,-0.3521586614,1,-0.0547816599,-0.0268178904,-0.0074591446
-0.1904761905,0.1474360725,-0.1010781671,0.2520349185,0.1787180665,-0.2492605336,0,1,-0.0138885472,-0.0123189833
-0.1751736635,-0.0265228886,-0.0543478261,0.1156745129,-0.0338864838,-0.3793240746,-0.04,0.0255869958,-0.0420256109,-0.0363868953
-0.1239316239,-0.0496603735,0.0111607143,0.1249920495,-0.1294697495,-0.2324504948,-0.05,0.0177585935,0.0228875627,0.0212913478
0.3210825773,0.0376637389,0.1470588235,0.3068186383,0.1890421085,-0.1975134828,-0.0666666667,-0.0259806419,-0.0318435509,0.0077075571
-0.2449841605,-0.0833487515,-0.0460829493,-0.2285522296,-0.0879529323,-0.2783410509,-0.1,0.0780403371,-0.034459072,-0.0079913944
0.1953758996,-0.1162704464,-0.0621118012,-0.019143462,0.109282426,-0.2598019385,-0.2,-0.0248396931,-0.0338845116,-0.0078033088
0,-0.1502964313,0.0238095238,0.076606509,0.0726699809,-0.0488471364,0.4,0,-4.10297020246731E-18,-0.0021461137
0.0175544794,-0.1712210338,-0.0105042017,0.1529520634,0.0635764499,0.1166406047,-0.1,0.0092201416,0.0049960044,0.0017655583
0.1227513228,-0.1103651991,-0.0223214286,0.0476352537,0.1486457901,0.018770931,-0.2,-0.0353625403,0.0280271132,-0.0147628997
-0.1740696279,-0.0981481545,-0.0510204082,0.0856525881,-0.0526123102,0.0148733971,0.6,0.1527909177,-0.0217546814,0.1806702042
-0.2111010009,-0.0074519999,0.1428571429,-0.1329836813,-0.2169818817,-0.0014081335,-0.0666666667,0.0225165563,0.1291151489,-0.0054467572
-0.712749616,0.2104333068,0.2579365079,-0.5144607395,-0.7546818539,0.8667699169,-0.1,-0.003171346,0.0245655425,-0.0424841678
-0.391011236,0.1563393037,-0.0568181818,-0.7324480033,-0.8377249823,0.5939887592,-0.2,-0.0023506884,0.0025198583,0.0400578017
-0.0953476903,-0.0779394776,-0.0892857143,-0.8621617126,-0.6486641652,0.3641363047,0,0.0032239284,0.0004590711,0.0119828842
0.4411375661,-0.0464614704,0.1428571429,-0.5494003238,-0.0697890195,-0.0711915742,0,-0.0154771914,-0.0126680739,0.0048114885
-0.2055081334,-0.1067880266,-0.0330687831,-0.5460931228,-0.2235050547,-0.041511774,0,0.0042917974,0.0081714267,0.0024247788
0.189171559,0.0555234211,-0.0405844156,-0.0409493754,0.0118796465,-0.0339326617,0,-0.0441213234,-0.0101930542,-0.0024179441
0.5985166075,0.3060383498,0.2205882353,0.5020877487,0.5250952697,-0.1498065484,1,-0.0230526648,-0.0478626026,-0.0073720018
-0.2346716464,0.0325954882,-0.1080827068,0.4154684257,0.1382690165,-0.1298315671,-0.04,0.1442466887,-0.0145460161,-0.0139020869
0.1464877664,0.0146818023,0.0833333333,0.261052268,0.2192056309,-0.3775442308,-0.05,-0.0237016382,0.0317233286,-0.0578768549
