"open_lastclose_ratio","volume_ma5_ratio","volume_ma10_ratio","atr5_ratio","natr5_ratio","ema5_ratio","dmi5_ratio","adx5_ratio","aroonosc5_ratio","slowk5_ratio"
-0.0839832869,0.0309897243,0.097747744,0.0859319157,0.1505087179,-0.4160388467,0.0016592767,0.1503710346,0.1111111111,-0.4497141451
0.0867625899,-0.1496826555,-0.073326904,-0.1449787196,-0.1780195125,-0.1536815161,-6.16613534799846E-19,0.1133006441,-0.0333333333,-0.3751786294
0.0571022727,-0.124212411,-0.1060923907,-0.1726386643,-0.1921519504,-0.0887333496,-0.0010450164,-0.1752418588,-0.0416666667,-0.1646149303
0.0855319149,-0.2121664228,-0.1691947928,-0.1402768656,-0.1646463684,0.0120886285,-0.000633203,-0.2439904211,-0.1111111111,0.0309550216
0.0283098592,-0.1689222574,-0.1526648385,-0.0692785139,-0.0763104622,0.0080558809,0.0016420667,-0.0231850396,0,0.0971332402
0,-0.0783308291,-0.1431879203,-0.1352285981,-0.1530113024,0.0339172111,-0.0011791396,-0.2599325503,-1,0.1408141581
0.1411516854,0.1475545614,-0.0532299704,-0.0343798672,-0.0334885174,-0.0059299544,0.0012338495,-0.095768489,0,0.3972068801
0,0.1670756203,0.0072594294,-0.093446087,-0.1029311064,-0.0039540746,6.11805688481007E-19,-0.0797511386,-0.1,0.2282221629
0.0283098592,0.2196167499,0.1085832845,0.5248483051,0.6059979429,-0.1310011264,0.0040297824,0.6752324499,-0.3333333333,0.3163609971
0,-0.1819350583,-0.1287555399,-0.0161919606,-0.0443480354,0.0841818026,-0.0002728563,0.3144660272,0,0.4036118662
-0.08457223,-0.1745551208,-0.1018086456,-0.0994012688,-0.092655214,-0.0583132648,-5.03285749578846E-19,0.2228016962,0,0.3174109756
0.2280851064,-0.141704856,-0.0844922484,-0.0483216045,-0.0575825148,-0.010325468,5.03285749578846E-19,0.1633006537,0,0.2554260937
0.1137199434,-0.0836209356,-0.0618534284,0.0942288854,0.0662405834,0.2221901476,-0.002049289,-0.4231290511,-0.5,0.214902802
0.1390041494,0.3187921269,0.1256469829,0.1787829715,0.1347918952,0.516598178,0.0130703304,0.0319267902,0.0416666667,0.1489574761
0.1341789052,0.355595825,0.2281711627,-0.161092754,-0.1886945116,0.422496209,0.0004648574,0.1292241939,0,0.0900077189
0.2662251656,0.1763724473,0.156668572,0.0893559286,0.0547729204,0.5534835342,0.0006340119,0.260237271,-0.0333333333,0.1016720932
0.1037419355,-0.1328508838,-0.0577982981,-0.1194593505,-0.137220534,0.4030009791,6.11670859686735E-05,0.2061277938,0.0416666667,0.1857282827
