"volume_lastvolume_ratio","ad_ratio","ma5_ratio","wma5_ratio","apo5_ratio","aroonup5_ratio","aroonosc5_ratio","rsi5_ratio","macdhist5_ratio","cmo5_ratio"
0.0021692564,-0.0537738362,0.0234862676,0.0127678766,-0.0327135728,-0.05,0,0.0191470398,-0.0014791384,-0.0147592798
0.2040361108,-0.0076730904,0.0502258537,0.0744286983,0.0275375974,0.1333333333,0.5,0.0222069413,-0.0053573862,0.0082890213
0.1986328473,-0.5364405029,0.1969560581,0.2834656937,0.1176904336,0,0.0416666667,0.0220350028,0.067774291,0.0034407853
-0.0884397747,0.1733164267,0.1385571331,0.1404448495,0.0148183566,0,-0.0666666667,-0.0192760784,-0.0013024494,-0.0020519798
-0.0457468824,0.0865270117,0.1570596789,0.0899228346,0.0137071779,-0.04,0,-0.0027416999,-0.0022890703,-0.0004496733
-0.0231911509,0.0472682505,0.1264277879,0.0348376755,0.0051284052,-0.05,0,-0.0033056669,-0.0041408235,-0.0005888279
0.0837513067,0.1875705717,0.022537139,-0.0863100148,-0.001079655,-0.0666666667,-0.0555555556,-0.0266457027,-0.1214275967,-0.0053184148
-0.060830181,-0.0128981274,-0.0963627082,-0.0509550773,-0.0125086636,-0.1,-0.0833333333,0.0164432594,-0.000294916,-0.0091131219
0.0887086313,0.0337188648,-0.0064426451,0.0293543887,-0.0113737555,-0.2,-0.8333333333,0.0147088023,-0.0024023721,0.0083069883
-0.0001278305,0.1473470906,-0.0743126863,-0.0774936049,-0.031371475,0,0.0416666667,-0.0307193539,0.0072353017,-0.0067768816
-0.0671502036,-0.0196780769,-0.048713471,-0.0275770318,0.1650874771,0.6,-0.1,0.0123755574,-0.0006053996,-0.0030412879
-0.0183101717,-0.0001010678,0,-0.0276082491,0.0030491457,-0.0666666667,0.0833333333,-0.0053268971,-0.0004170992,0.005275894
0.0753541589,-0.1139462773,0.0325350656,0.0629296,-0.0156611334,-0.1,0,0.0353984986,-0.0044335493,-0.0147103864
-0.0231949451,0.0192628458,-0.0097026108,0.0437506725,0.0009060042,-0.2,0,-0.0036443354,0.1002195294,-0.0008432723
0.2180684845,-0.2469979471,0.1528162767,0.1742549995,-0.0619018141,1,-0.3333333333,0.0250794129,0.0232084878,0.0069648888
