date,open,high,low,close,volume,close_ma5,volume_ma5,close_ma10,volume_ma10,close_ma15,volume_ma15,close_ma30,volume_ma30,close_ma60,volume_ma60
2019-10-04,29550,29650,29200,29200,295556,29610.0,236842.2,29585.0,242718.2,29626.666666666668,258458.13333333333,29048.333333333332,291780.9666666667,,
2019-10-07,29150,29300,28800,29000,132283,29510.0,236385.6,29560.0,220079.1,29586.666666666668,230221.73333333334,29073.333333333332,279949.26666666666,,
2019-10-08,29100,29600,28950,29300,201828,29460.0,221866.4,29555.0,227075.5,29533.333333333332,227946.93333333332,29103.333333333332,275599.93333333335,,
2019-10-10,28850,29450,28800,29150,530648,29270.0,283029.8,29540.0,259212.1,29486.666666666668,250667.2,29135.0,286325.06666666665,,
2019-10-11,29450,29850,29350,29750,231783,29280.0,278419.6,29495.0,247357.3,29506.666666666668,250046.66666666666,29190.0,287999.56666666665,,
2019-10-14,30000,30350,29800,30200,277537,29480.0,274815.8,29545.0,255829.0,29550.0,253417.4,29268.333333333332,284392.1,,
2019-10-15,30300,30400,29950,30200,193216,29720.0,287002.4,29615.0,261694.0,29613.333333333332,242386.86666666667,29346.666666666668,285070.5,,
2019-10-16,30250,30500,29900,30400,280872,29940.0,302811.2,29700.0,262338.8,29683.333333333332,252320.73333333334,29416.666666666668,286685.0333333333,,
2019-10-17,30550,31200,30250,30750,314134,30260.0,259508.4,29765.0,271269.1,29780.0,259310.86666666667,29500.0,285553.9,,
2019-10-18,31250,31250,30550,30950,305081,30500.0,274168.0,29890.0,276293.8,29830.0,256294.2,29585.0,285992.4666666667,,
2019-10-21,31250,31250,30400,30800,211186,30620.0,260897.8,30050.0,267856.8,29903.333333333332,257518.6,29668.333333333332,283063.4,,
2019-10-22,30400,31300,30400,31000,250167,30780.0,272288.0,30250.0,279645.2,30003.333333333332,265225.3333333333,29741.666666666668,276133.13333333336,,
2019-10-23,30850,31250,30600,30900,148612,30880.0,245836.0,30410.0,274323.6,30093.333333333332,256837.86666666667,29806.666666666668,262031.43333333332,,
