"volume_ma5_ratio","volume_ma60_ratio","obv_ratio","atr5_ratio","adosc5_ratio","ema5_ratio","macd5_ratio","cmo5_ratio","ppo5_ratio","rocr5_ratio"
-0.0703526867,-0.0323327313,-0.0008993404,-0.1984978929,-0.006100167,0.2331276829,-0.0062867937,0.0124458383,-0.0352195525,0.0706863689
-0.1187281992,-0.1099059612,0.000729134,-0.1142348091,0.0002082227,0.0323991643,-0.003575679,-0.0059989807,0.0264587851,-0.3655408155
0.0635508797,-0.0049996715,-0.0009647274,0.0044443242,0.0043831303,0.1436992741,-0.0077501108,-0.0284631374,0.0187938758,0.1594431402
0.0329936023,-0.0240925573,0.00096342,-0.0303258553,-0.0021301005,-0.0566610726,0.0014338638,-0.0084013644,0.0008114579,-0.1042720596
0.0448840494,-0.0109853754,0.0009621725,0.0442114479,0.0033873192,-0.2815754269,0.0160629423,0.0144386215,-0.0119970611,-0.2603905148
-0.1299224178,-0.1310274327,-0.0006309017,-0.1672560052,-0.005950221,-0.0355978012,-0.0015769521,-0.0034889889,-0.0247719067,0.0365230143
0.3493438687,0.2704848578,0.0016207559,0.148740539,0.0045567392,-0.3920173835,0.0112620933,0.0153417643,-0.0143806949,-0.1434328194
-0.0203825028,0.0042450229,0.0009231073,-0.1294686169,0.0010646658,-0.2946432996,0.0032197908,0.0002474035,0.0441824208,-0.0873352676
-0.0379618418,-0.0032211385,0.0008692641,0.03584583,0.0033437492,-0.2600863467,0.0015658168,0.0005232607,0.0114933775,0.0510076705
0.0363913865,0.0634976571,-0.0009854375,0.0281302117,0.0001038015,-0.0176416421,-0.0024516421,-0.0030831606,-0.001624112,0.2351516601
-0.1016083304,-0.0225518125,-0.000845237,0.0221662556,-0.0055852771,0.1137035076,-0.00472573,-0.0053878987,-0.0006577806,-0.0168870373
0.0540860408,0.051577907,0.0010570325,0.0878090774,0.004167132,-0.3311222717,0.0058888529,-0.1385066738,-0.0032739796,-0.0210666232
-0.0351602498,-0.0147202971,-0.0008661811,-3.75147964936912E-05,0.0003908115,-0.0963209226,-0.0009321254,-0.0023664738,-0.0081766234,0.0917438534
0.0118362849,0.0228414116,-0.0009956937,0.1341603739,-0.0107300588,0.4095187071,-0.0107701711,-0.0112144695,-0.021510367,0.3106855608
0.2299526538,0.2162024473,-0.0015381221,-0.0250414465,-0.0246953476,0.583528854,-0.0443722159,0.0034698241,-0.1235446364,0.0844351866
0.1414499108,0.1998750432,0.0016334729,0.1065075365,-0.0232391916,0.3530628433,0.0102246661,-0.0004823411,0.0259138555,-0.08857515
0.0789856917,0.1800031711,-0.0014808375,0.1405043663,-0.0558147559,0.6319644959,0.0111376712,0.0024546119,0.0286174045,0.4701537445
-0.2419110032,-0.1017765219,0.0007974782,-0.2019345516,0.0252718131,0.3851604243,0.0021895906,-0.000405205,0.0103262261,-0.089545644
-0.2120366213,-0.0892268318,-0.0008019326,-0.1188471921,-0.0567511895,0.2845165682,0.0004726339,0.0001519002,0.0011653228,-0.2481933827
-0.016660747,0.036635808,0.001169345,0.0989500575,0.1417104214,0.0396328777,-0.0022798885,-0.0025723209,-0.0025274895,-0.2553783946
0.0218571645,0.0246567456,0.0010917076,0.2020411776,0.0303192235,-0.3602223942,-0.007360785,-0.0087780988,-0.00413698,-0.2045854753
-0.1692621073,-0.1590792193,-0.0005954105,-0.0830893671,0.0009538243,-0.0322301942,-0.0035268939,-0.0058793584,-0.0128274179,-0.0999681175
-0.0945657422,-0.1164363581,0.0007153406,-0.0396609395,0.0063510156,-0.2615497868,-0.0113584898,-0.0312151738,-0.0272904026,-0.1213165211
-0.1007411848,-0.1225263802,-0.0006717949,-0.0018231522,-0.0165162491,0.1264397706,0.0146925306,-0.0079127586,0.1531156978,0.1580664469
-0.1449521112,-0.1802896068,0.0005477951,-0.0014599642,-0.0285956655,-0.0363401105,-0.0052404023,-0.0055609473,0.0103287447,0.0157903929
-0.1183931225,-0.20488578,0.0004763628,-0.154454179,-0.0711208454,-0.1146157322,-0.0149907687,0.0360501407,-0.0033870552,0.1740595788
0.0095753372,-0.1496961112,-0.0005960631,-0.1348507339,0.1316336968,0.0441960675,-1,-0.0070607128,-0.0055832532,-0.0520111257
-0.1765000557,-0.2471664456,0.0003759567,-0.1885767241,0.0243240312,-0.0007364516,-0.0029646999,-0.0047857433,-0.0174682234,0.1226603837
0.267067505,-0.0624275511,-0.0008087536,0.073190531,0.0288095739,0.3313967182,0.1387751873,1,-0.0396411149,0.0148547256
0.0753899767,-0.1251593854,-0.0006802243,-0.0210217882,0.0078760455,0.3690263052,0.0126964374,0.0014835829,0.098885819,0.1546046829
0.6082982651,0.3094574548,0.0017849631,1,-0.0098702702,-0.3797120407,-0.0113501945,-0.0073406218,-0.0033029209,-0.3019666211
