"high","low","close","low_close_ratio","volume_lastvolume_ratio","sar_ratio","slowk5_ratio","cci5_ratio","ppo5_ratio","rocr5_ratio"
0.8820512821,0.9396648045,0.8822916667,-0.1030374584,0.0059231319,0.0501968053,-0.0876556938,-0.024249579,-0.0013330462,-0.2310834724
0.8646153846,0.9284916201,0.875,-0.1558441558,-0.0155847849,0.3692400323,-0.1598694134,0.0162248039,-0.006689007,-0.2542267218
0.8728205128,0.930726257,0.8760416667,-0.1383634202,0.00021221,-0.0084105751,-0.309746338,-0.0069018733,-0.0049017458,0.0793943065
0.8923076923,0.9441340782,0.8916666667,-0.1869158879,0.0643084667,-0.0082506614,-0.1353216998,-0.0276876487,-0.0116792718,-0.1337780058
0.8892307692,0.9329608939,0.8708333333,-0.0173988691,-0.0063249215,-0.0080936333,-0.2308636762,-0.0162488052,-0.0502091423,-0.1670155821
0.8861538462,0.9340782123,0.890625,-0.3232323232,-0.0005991695,-0.0079394446,-0.0024078999,-0.177238806,0.0033614319,0.4117695476
0.8964102564,0.9553072626,0.909375,-0.2999062793,0.0031463908,-0.3894024734,0.0394809345,0.021008034,-0.0156424097,0.2469483936
0.9046153846,0.9620111732,0.9145833333,-0.2816318078,-0.0320192747,0.0086546299,0.2503601121,-0.002595187,-0.0749173056,0.0378550407
0.9066666667,0.9709497207,0.9125,-0.1162308012,-0.0406327367,0.0201625359,-0.0517742088,-0.003938752,0.0238988657,-0.1650812755
0.9128205128,0.9675977654,0.9208333333,-0.2961744138,0.0863617805,0.0301676922,0.0010084098,0.0007788726,0.023935407,0.2779653476
0.9179487179,0.9877094972,0.9239583333,-0.0491954494,-0.0301766665,0.0424708571,0.2243900336,0.009302033,0.0030633225,-0.157918939
0.9261538462,0.9910614525,0.9375,-0.2101010101,0.0384242764,0.0535658942,0.3219614585,-0.0017716649,-0.0008084507,-0.0523328717
0.9107692308,0.9597765363,0.9197916667,-0.3953464429,0.1160361079,0.0669669273,0.124603843,-0.0231196956,-0.0038342576,-0.2044669202
0.9066666667,0.9497206704,0.89375,-0.1356219538,-0.0344823622,0.4871895189,-0.1748191023,0.0138592751,-0.0055500207,-0.217983481
0.8974358974,0.9508379888,0.903125,-0.2684282269,-0.0367195364,-0.009816783,0.0783275753,-0.0055657784,-0.0133447199,0.0112341903
0.8964102564,0.9519553073,0.896875,-0.1520430789,-0.0164966956,-0.0096317537,-0.1613264402,-0.002948639,-0.0385230132,-0.0858697726
0.8830769231,0.9318435754,0.878125,-0.1552895503,0.0361225455,-0.0094500026,-0.3398554399,0.0238466715,0.0560688455,-0.2927853013
0.9025641026,0.9474860335,0.9083333333,-0.4003336113,-0.0082648586,-0.024490602,-0.0742127574,-0.0211533243,0.0027433426,0.4537403071
0.9169230769,0.9530726257,0.8979166667,-0.1518666948,0.0011844771,-0.0235800325,-0.1822066768,0.0032397786,-0.0032603644,0.1448162706
0.9025641026,0.9631284916,0.9,-0.0336700337,-0.0080903025,-0.0067104255,-0.2050075033,-0.0043451734,-0.0024825476,-0.0675360278
0.8851282051,0.9240223464,0.8614583333,0,0.0469385684,0,-0.455569082,-0.0408441663,0.0018028379,-0.3020200746
0.8707692308,0.9284916201,0.8791666667,-0.2240413615,-0.0389712531,-0.0376044819,-0.4602692343,-0.0035899605,-0.0110113147,0.3537598639
0.878974359,0.930726257,0.8864583333,-0.3076594381,0.0358891413,-0.0355078793,-0.1532696652,-0.0087925011,0.0045698492,-0.210839048
0.88,0.9363128492,0.88125,-0.1375456695,0.0040376999,-0.0335197292,0.1798766652,-0.0097231235,0.0073082857,0.0472598595
0.8666666667,0.9195530726,0.8635416667,-0.1052747012,0.0052622302,-0.0316353462,-0.1389345471,0.1610732465,0.0085702046,-0.1868136238
0.8666666667,0.9229050279,0.8791666667,-0.3102111159,0.0335626453,-0.0428435924,0.336245596,-0.0102322163,-0.0093389307,0.5316626967
