"open","high","natr5_ratio","aroonup5_ratio","willi5_ratio","mom5_ratio","macd5_ratio","dx5_ratio","ppo5_ratio","rocr5_ratio"
0.9778129952,0.9733124019,0.0276558984,-0.05,0.021192053,-0.0104166667,-0.003988804,-0.0055935459,-0.0012393306,-0.0196853293
0.969889065,0.978021978,0.0845340197,-0.0666666667,0.004330107,-0.0833333333,-0.0046150455,0.0222143392,-0.0046063128,-0.1193817791
0.9683042789,0.9952904239,0.3257551262,0.3,-0.0398864711,-0.1111111111,0.0126860114,0.0171181265,-0.0059599747,0.1588017511
0.9920760697,0.9984301413,0.0381289317,0,0.0045172104,0.05,0.0033724488,0.0008467673,-0.0021963318,0.1187414624
1,0.9905808477,0.2619805092,-0.04,0.128666036,-0.053030303,-0.0067849883,-0.0128084157,-0.005740352,-0.2727694524
0.9730586371,0.9654631083,-0.1176092618,-0.05,-0.0030001022,-0.0138888889,-0.0096679621,0.0493298046,-0.0063078163,0.0197826303
0.971473851,0.9654631083,-0.1084660034,-0.0666666667,-0.0022516556,-0.0416666667,-0.0144178723,5.36825172261918E-18,0.0061594814,0.0400871406
0.9667194929,0.967032967,-0.06397243,-0.1,0,0.3333333333,1,-0.0048498085,-0.0313281995,-0.3120158331
0.9746434231,0.989010989,0.0940489685,-0.2,-0.0423087536,-0.0338541667,-0.061431484,0.0365273737,0.0229035012,0.2602360928
0.9809825674,0.9748822606,0.2143042186,0,0.2247152318,0.0555555556,-0.0202954568,-0.0094270303,0.0027637224,-0.0818275422
0.9603803487,0.9529042386,0.2266133075,0.6,-0.0078522411,0.0714285714,0.075055563,0.0296050041,0.0100448708,-0.243764213
0.9477020602,0.9481946625,0.0143915765,-0.0666666667,0.0044440572,0.0087719298,0.007384352,0,0.0084733606,-0.0819699949
0.93977813,0.9324960754,-0.0016842607,-0.1,-0.0004224495,0.009057971,0.0036555355,0.0044875449,0.0030331582,-0.1039611329
0.9350237718,0.9387755102,0.0349315607,-0.2,0.0014229371,0.0238095238,0.0013155982,-0.0044428338,0.0085963781,-0.314888621
0.9334389857,0.9262166405,0.0684721673,0,0.0006014037,-0.0113636364,0.0019678347,0.0055968012,0.0035164707,0.2302847625
0.9160063391,0.9089481947,-0.1685789152,0,-0.0021071644,-0.0182291667,7.65707304919213E-05,0.0004013884,-1.10584621240036E-05,0.2896160478
0.911251981,0.9073783359,-0.1770979576,0,-0.0061652476,-0.0115740741,-0.0013014907,0,-0.0010378558,0.1052651749
0.9144215531,0.9152276295,-0.0659581995,0.2,0.0102347983,-0.0032051282,-0.0006005925,-0.0079510334,-0.0018448363,0.0190770953
