"close_lastclose_ratio","volume_lastvolume_ratio","trsrange_ratio","ad_ratio","adxr5_ratio","apo5_ratio","rsi5_ratio","macd5_ratio","cci5_ratio","ppo5_ratio"
0.0434179498,-0.0389048925,0.0454545455,-0.0009670762,-0.3375723908,0.1263157895,0.0237762984,-0.008423339,-0.0033040589,0.1261969475
0.086511885,0.0316015238,0.0363636364,-0.0018898431,0.2595513735,0,0.0453889151,-0.5255239206,-0.00054917,-0.0002385576
0.0858710562,-0.09082764,-0.0909090909,-0.0030378248,-0.2349443551,0.0526315789,0.0377583974,0.0084347527,0.0029347838,0.0522254386
-0.0852396514,0.0816179647,0.1212121212,-0.0008849947,-0.4882091961,0,-0.0739103657,-0.0003188068,-0.007150303,-0.0001186062
-0.0429355281,0.0419727351,0,-0.0010850093,-0.2829157855,-0.0061919505,-0.0420452044,-0.0017998237,-0.0235994696,-0.0063252431
-0.1292854192,0.5406171792,-0.0363636364,0.0104116324,0.2811489281,-0.0140350877,-0.1179459161,-0.0059392393,0.0230905861,-0.0140796079
-0.0871623503,-0.1150739648,0.1363636364,0.0077794804,0.044434546,-0.028708134,-0.081233205,-0.0201527421,-0.0039571438,-0.0286811244
0.1317340067,-0.0301049041,0.025974026,0.0041371415,-0.2888688166,-0.0947368421,0.2301690601,-0.002457937,-0.0135478197,-0.0945221415
0.0434179498,-0.0760394952,-0.0681818182,0.0007287066,-0.2254184975,0.0328947368,0.0440089503,-0.0071057923,0.011288731,0.0328319175
0.2162797125,0.1029405171,0.0363636364,-0.0027806537,0.6976847991,-0.008097166,0.1443649111,-0.1610881957,0.0269390172,-0.0081888985
0,-0.049136497,-0.0909090909,0.0042292989,0.5257726323,-0.043062201,0,0.0044169255,-0.004027247,-0.0430394437
0.4671008004,0.4211707571,0.4848484848,-0.0130702893,0.8798660948,-0.6842105263,0.1061378631,0.0123135813,0.0043993153,-0.6803022809
0.163275952,-0.0524298766,-0.0495867769,-0.0052654404,0.6505996048,0.0570175439,0.0138705719,0.0039142243,-0.0024848137,0.0563199854
0.0402520576,-0.080109774,0.0227272727,0.0035551807,0.8214090295,0.0242105263,0.0031585736,0.0012341275,-0.0009774067,0.0236555971
0.0401127771,-0.0479490709,-0.0808080808,-0.0046825603,0.4558650723,0.0093727469,0.0034334172,0.0003207531,-0.0052513074,0.0088929419
-0.1199233716,-0.0152925259,0.0363636364,0,0.4020447549,0.0042839657,-0.0964300402,-0.0010783282,-0.0095590061,0.0038508652
-0.1211769261,0.0179407782,-0.0303030303,0,0.1650000823,-0.0113186191,-0.095856579,-0.0020245914,-0.2428656009,-0.0116024696
-0.20409494,0.1604105855,0.0363636364,0.0059654332,-0.1104260726,-0.021629416,-0.1399861623,-0.003781931,-0.0004789159,-0.0217411004
