"volume","high_close_ratio","close_lastclose_ratio","close_ma5_ratio","ad_ratio","b_upper5_ratio","b_lower5_ratio","macdhist5_ratio","cci5_ratio","cmo5_ratio"
0.0778127495,0.2007833898,-0.0593699159,0.0367216849,0.084034693,-0.0381213407,0.1942890847,-0.001322956,-3.29616632239405E-14,-0.0022667226
0.1520180505,0.1387589817,-0.1019769165,-0.0645212734,0.0235480446,0.0057024182,-0.0253122659,-0.0039839081,-1.73443834667306E-13,-0.0065520151
0.07352486,0.0733351441,0,-0.0632780976,-0.0550968246,0.0014591491,-0.0053905515,-0.0158425493,2.32996382545266E-14,7.06684319036775E-19
0.0560263569,0.1579241758,-0.121813517,-0.1577065052,0.0467900299,0.0528249928,-0.1573512628,0.0125271011,2.41703568077837E-15,0.0112338492
0.0557587415,0.0575799809,0.0744138992,-0.0371600456,0.0149252171,-0.131787912,0.0110018395,-0.001685506,-5.09118029603976E-14,-0.0028940401
0.0541612351,0.1329894692,-0.0675066445,-0.0618877511,0.0860467816,-0.1221877351,-0.005485528,0.0005791892,6.09721424343856E-14,0.0054418432
0.0610348395,0.0080301748,0.1673944477,0.1016436103,-0.089365383,0.0511123774,-0.0244891825,-0.0067001521,-2.17726013020283E-13,-0.0068673628
0.0537593246,0.1052679018,0.0059936255,0.0962977497,0.0381586505,0.0471526859,-0.0166356649,0.0040037149,3.45432032968282E-14,0.0003203599
0.0565664606,0.0968036493,0.0242160923,0.0791783374,0.063883216,0.0508884195,0.0726930468,0.0006594175,-2.55489991538326E-14,0.0013699551
0.0450178696,0.0563955924,0,0.052162746,0.0190639557,0.0357737696,0.0420399602,-0.0007943249,-3.93851095703358E-14,0
0.0457446999,0.1215330409,-0.036060972,-0.0189324472,0.0711601058,-0.1218481208,0.2344836826,-0.0027381256,-5.60217441196793E-14,-0.0031640474
0.0548853366,0.0488895613,-0.0303248294,-0.0430966383,-0.0064945846,0.0175793976,-0.0413350463,-0.0067446656,-8.03863734429728E-13,-0.0096594858
0.0406457777,0.0899383177,-0.0303315514,-0.0596537344,0.0520501822,0.0164875317,-0.0630349829,0.0094139326,-4.14010209390131E-14,0.0069373198
0.0484031174,0.1069383357,-0.0427123263,-0.075186812,0.0737235911,-0.0108754153,-0.0759400258,0.0026036245,8.56488468563458E-15,0.0031488195
0.1159184219,0.2508806434,-0.0984326335,-0.1284799228,0.0938489517,-0.0063463266,-0.14294159,0.0030722725,3.557960293794E-14,0.0026183953
0.093170329,0.0904377685,0.106099432,0.0012911304,-0.0060031929,-0.0641974176,0.0081637981,-0.0026844904,-6.97748883143225E-14,-0.0036809057
0.0982218873,0.1508621338,-0.1228275963,-0.0881198595,0.0821172095,-0.0417695931,-0.0750993694,0.0030149685,2.15759062611942E-13,0.016213542
0.0709241368,0.1594142562,-0.0062707955,-0.0599229158,0.0603001818,-0.0642662156,-0.0356119723,-0.0005273932,-2.55308357106634E-14,0.0001391298
0.0674350004,0.1250668086,0.0376603506,-0.0025460145,0.0415532333,-0.0563471501,0.0063464771,-0.0030069595,-7.0885797350549E-14,-0.0019610026
0.0429950632,0.0503178182,-0.0312065724,-0.031366317,0.0056042143,-0.0003778454,-0.0113701991,-0.0022301681,3.81559947368555E-13,0.0019092491
0.1305996535,0.30342489,-0.219000715,-0.1901033041,0.1866935491,0.0212193968,-0.2395174055,0.0443662237,8.43359164430372E-14,0.0049562633
0.0686383929,0.1305798695,-0.0322827528,-0.1715454627,0.0828817216,0.0116732602,-0.1741399186,0.0005684346,-3.16493222045152E-14,0.0001826382
0.0923587115,0.2700801661,0,-0.1205845941,0.1105179525,-0.0533179415,-0.0994076908,-0.0012802296,-4.1783378240669E-14,0
0.0484438542,0.0433883397,0.0259949188,-0.0391560152,-0.0107510213,-0.1639940491,0.0168641825,-0.0029905447,2.01291837847335E-14,-0.000981108
0.0903493541,0.2756564116,-0.1619226642,-0.1271246217,0.113298599,-0.2185377394,-0.0079577601,0.0060741545,1.04549939483124E-13,0.0016078582
0.1995658899,0,0.4646474563,0.2886108628,-0.2615929391,0.3389068708,-0.1884084242,-0.0162218069,-1.79678950027166E-13,-0.0060009074
0.13376387,0.2325053985,0.0061504676,0.2254002241,0.0502414724,0.1881970879,-0.0061984772,0.0014288719,-1.71213751057589E-14,0.0001010081
0.0594714429,0.2202674375,-0.1301206538,0.0453645515,0.0694990768,0.0340799699,0.0821492362,-0.0017121373,-5.75031992721066E-14,-0.003859406
0.0547001693,0.1174583253,0.0632273771,0.0649647091,0.0160183043,0.0429601466,0.0960791625,-0.0007635287,-4.85954406503291E-15,0.0172123929
0.056500775,0.2646385199,-0.1127081507,-0.1091395423,0.0711224422,-0.1915830644,0.3968575572,-0.0033352453,-2.45233498493383E-13,-0.007111387
0.0589857199,0.1372553373,-0.0318563088,-0.0992412338,0.014479109,-0.041621605,-0.085919702,-0.0078127417,7.25715130763014E-14,0.0026922599
0.074653016,0.075860281,0.1152078555,0.0411452022,-0.0506924027,-0.1003130582,0.0463105641,-0.0093073954,-6.81995472172683E-14,-0.0072666865
0.06635031,0.008247952,0.0881535837,0.1085076253,-0.0801854754,0.0964301934,-0.0286728575,0.0098171464,-3.37530551075986E-13,0.0061979441
0.0508921555,0.2382867029,-0.1490334769,-0.030477595,0.0689238705,-0.0339981386,-0.0227825948,-0.0042216697,-5.57406527107036E-14,-0.0055419753
0.106682083,0.0838455627,0.1078890587,0.0554403984,-0.0610650076,0.039128571,0.0374492438,0.0375395584,3.26561534391846E-14,-0.0107821445
0.0466989936,0.0671208646,-0.0061968441,0.0170969672,0.0287675518,-0.0190163621,0.1171561775,-0.0004201884,7.40161357193976E-14,-0.0005221248
0.0838026187,0.1261049858,-0.0187442255,-0.0065599029,0.0563793865,0.0024544187,0.0092594313,-0.0030753976,-5.05590039937714E-14,-0.0021038673
0.1028241714,0.107326871,0.1192090981,0.107660437,-0.0322516027,0.0572718075,-0.0304292039,0.0266797177,2.96861346569653E-13,0.0199200088
0.069379062,0.1744242834,-0.0370656573,0.0339139016,0.0845704311,-0.0095875158,0.1137296348,-0.0015013813,-3.40566796901567E-14,-0.0017493115
0.0605417098,0.0246259638,0.0682002389,0.0793563881,-0.0546602281,0.0739398802,-0.0013210647,0.0017441944,-2.9424829002735E-14,0.0033472449
